aashtocl,rvindicator,chkey,chaashtokey
A-6,Yes,65219627,106540751
A-7,No ,65219627,106540752
A-7-6,Yes,65224142,106547860
A-6,No ,65224142,106547861
A-6,Yes,65219614,106540736
A-7,No ,65219498,106540559
A-6,Yes,65219498,106540560
A-7-6,Yes,65224138,106547854
A-6,No ,65224132,106547843
A-7-6,Yes,65224132,106547844
A-6,Yes,65222886,106545807
A-7-6,No ,65222886,106545808
A-7-6,Yes,65224154,106547884
A-6,No ,65224154,106547885
A-6,Yes,65221828,106544018
A-7,No ,65221828,106544019
A-6,Yes,65222877,106545795
A-7-6,No ,65222877,106545796
A-6,No ,65219540,106540630
A-7-6,Yes,65224966,106548836
A-6,Yes,65219511,106540581
A-7,No ,65219511,106540582
A-6,No ,65219237,106540174
A-7,Yes,65219237,106540175
A-7,Yes,65219353,106540336
A-7-6,Yes,65222824,106545703
A-7,No ,65222824,106545704
A-7-6,Yes,65224164,106547899
A-6,No ,65224164,106547900
A-6,No ,65221865,106544086
A-7-6,Yes,65221865,106544087
A-7,No ,65219542,106540633
A-6,No ,65219542,106540634
A-7-6,Yes,65224992,106548875
A-4,No ,65224992,106548876
A-7-6,Yes,65222887,106545809
A-7-6,Yes,65224106,106547801
A-7-6,Yes,65222772,106545597
A-6,No ,65222772,106545598
A-6,No ,65219363,106540350
A-7,Yes,65219363,106540351
A-6,Yes,65224153,106547882
A-7-6,No ,65224153,106547883
A-7,Yes,65219300,106540267
A-7-6,Yes,65224127,106547836
A-6,No ,65224127,106547837
A-6,Yes,65221861,106544078
A-7-6,No ,65221861,106544079
A-7-6,Yes,65222771,106545595
A-6,No ,65222771,106545596
A-6,Yes,65222876,106545793
A-7-6,No ,65222876,106545794
A-7-6,No ,65224971,106548843
A-6,Yes,65224971,106548844
A-7-6,Yes,65221732,106543836
A-4,Yes,65223751,106547398
A-7,No ,65219311,106540280
A-6,Yes,65219270,106540222
A-7,No ,65219270,106540223
A-7-6,Yes,65224117,106547822
A-6,Yes,65219616,106540738
A-6,Yes,65219405,106540418
A-7-6,Yes,65224105,106547799
A-6,No ,65224105,106547800
A-7-6,No ,65221721,106543815
A-6,Yes,65221721,106543816
A-4,No ,65221721,106543817
A-7-6,Yes,65224993,106548877
A-4,No ,65224993,106548878
A-7,Yes,65219362,106540349
A-6,No ,65219592,106540705
A-7,No ,65219301,106540268
A-4,Yes,65223752,106547399
A-2,No ,65223752,106547400
A-7-6,Yes,65224143,106547862
A-6,No ,65221821,106544005
A-7-6,Yes,65221821,106544006
A-7-6,Yes,65223742,106547384
A-6,No ,65223742,106547385
A-7,No ,65219280,106540237
A-7-5,Yes,65224116,106547820
A-7-6,No ,65224116,106547821
A-6,No ,65219522,106540597
A-7,No ,65219522,106540598
A-6,Yes,65219509,106540578
A-7,No ,65219233,106540168
A-7,No ,65219279,106540235
A-6,No ,65219279,106540236
A-7,No ,65219352,106540334
A-6,Yes,65219352,106540335
A-6,Yes,65224146,106547867
A-7,No ,65224146,106547868
A-7-6,Yes,65224967,106548837
A-7-6,No ,65221725,106543824
A-6,Yes,65221725,106543825
A-7-6,Yes,65222825,106545705
A-6,No ,65222825,106545706
A-7,No ,65222825,106545707
A-7,No ,65219520,106540594
A-6,No ,65219520,106540595
A-7-6,No ,65222773,106545599
A-6,Yes,65222773,106545600
