rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,,NA,NA,,,,Yes,65173683,7548595
Friable,,NA,NA,,,,Yes,65173047,7547763
Friable,,NA,NA,,,,Yes,65173048,7547767
Friable,,NA,NA,,,,Yes,65171977,7548563
Friable,,NA,NA,Deformable,,,Yes,65174625,7548905
Friable,,NA,NA,,,,Yes,65173685,7548599
Friable,,NA,NA,Deformable,,,Yes,65174624,7548903
Friable,,NA,NA,,,,Yes,65171975,7548565
Friable,,NA,NA,,,,Yes,65173051,7547765
Friable,,NA,NA,Deformable,,,Yes,65174633,7548921
Friable,,NA,NA,Deformable,,,Yes,65174634,7548923
Friable,,NA,NA,,,,Yes,65173684,7548597
Friable,,NA,NA,Deformable,,,Yes,65174623,7548901
Friable,,NA,NA,Deformable,,,Yes,65174641,7548937
Friable,,NA,NA,,,,Yes,65173050,7547769
Friable,,NA,NA,Deformable,,,Yes,65174637,7548929
Friable,,NA,NA,,,,Yes,65173680,7548591
Friable,,NA,NA,Deformable,,,Yes,65174630,7548915
Friable,,NA,NA,,,,Yes,65171976,7548557
Friable,,NA,NA,,,,Yes,65171973,7548567
Friable,,NA,NA,Deformable,,,Yes,65174626,7548907
Friable,,NA,NA,,,,Yes,65173744,7548608
Friable,,NA,NA,Deformable,,,Yes,65174638,7548931
Friable,,NA,NA,Deformable,,,Yes,65174640,7548935
Friable,,NA,NA,,,,Yes,65171979,7548569
Friable,,NA,NA,Deformable,,,Yes,65174627,7548909
Friable,,NA,NA,,,,Yes,65173679,7548585
Friable,,NA,NA,,,,Yes,65173681,7548593
Friable,,NA,NA,,,,Yes,65173743,7548610
Friable,,NA,NA,,,,Yes,65173742,7548604
Friable,,NA,NA,,,,Yes,65173049,7547761
Friable,,NA,NA,Deformable,,,Yes,65174629,7548913
Friable,,NA,NA,Deformable,,,Yes,65174628,7548911
Friable,,NA,NA,,,,Yes,65171974,7548559
Friable,,NA,NA,,,,Yes,65173741,7548606
Friable,,NA,NA,,,,Yes,65173678,7548589
Friable,,NA,NA,Deformable,,,Yes,65174639,7548933
Friable,,NA,NA,Deformable,,,Yes,65174635,7548925
Friable,,NA,NA,,,,Yes,65173682,7548587
Friable,,NA,NA,Deformable,,,Yes,65174632,7548919
Friable,,NA,NA,,,,Yes,65171978,7548561
Friable,,NA,NA,,,,Yes,65173745,7548602
Friable,,NA,NA,Deformable,,,Yes,65174631,7548917
Friable,,NA,NA,Deformable,,,Yes,65174642,7548939
Friable,,NA,NA,Deformable,,,Yes,65174636,7548927
