fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,3,6,,2,4,5,,,,65219627,112405180
3,5,6,,5,40,75,,,,65219627,112405181
0,3,6,,2,4,5,,,,65219614,112405141
3,5,6,,5,40,75,,,,65219614,112405142
0,2,3,,75,162,250,,,,65219614,112405143
0,4,8,,2,4,5,,,,65219498,112405090
0,3,6,,5,40,75,,,,65219498,112405091
3,5,5,Conglomerate fragments,5,20,75,Nonflat,Subrounded,Indurated,65222824,112411274
0,0,0,Conglomerate fragments,75,140,250,Nonflat,Subrounded,Indurated,65222824,112411275
0,0,0,Conglomerate fragments,250,400,600,Nonflat,Subrounded,Indurated,65222824,112411276
0,0,0,Conglomerate fragments,600,775,1000,Nonflat,Subrounded,Indurated,65222824,112411277
0,3,5,Conglomerate fragments,2,4,5,Nonflat,Subrounded,Indurated,65222824,112411278
0,0,0,Mixed rock fragments,5,20,75,Nonflat,Subrounded,Indurated,65222887,112411339
0,0,0,Mixed rock fragments,75,140,250,Nonflat,Subrounded,Indurated,65222887,112411340
0,2,3,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65222887,112411341
0,0,0,Mixed rock fragments,250,400,600,Nonflat,Subrounded,Indurated,65222887,112411342
0,0,0,Mixed rock fragments,600,775,1000,Nonflat,Subrounded,Indurated,65222887,112411343
0,6,11,,2,4,5,,,,65219363,112404870
0,2,3,,5,40,75,,,,65219363,112404871
0,2,3,,2,4,5,,,,65223751,112413845
0,0,4,Chert fragments,2,4,5,Nonflat,Well rounded,Indurated,65221732,112407635
0,0,3,Chert fragments,5,40,75,Nonflat,Well rounded,Indurated,65221732,112407636
0,3,6,,2,4,5,,,,65219270,112404721
3,5,6,,5,40,75,,,,65219270,112404722
0,2,3,,75,162,250,,,,65219270,112404723
0,6,11,,2,4,5,,,,65219616,112405147
0,3,6,,5,40,75,,,,65219616,112405148
0,2,3,,75,162,250,,,,65219616,112405149
0,3,6,,2,4,5,,,,65219405,112404940
3,5,6,,5,40,75,,,,65219405,112404941
0,2,3,,75,162,250,,,,65219405,112404942
0,6,11,,2,4,5,,,,65219362,112404868
0,2,3,,5,40,75,,,,65219362,112404869
0,3,6,,2,4,5,,,,65219592,112405118
3,5,6,,5,40,75,,,,65219592,112405119
0,2,3,,75,162,250,,,,65219592,112405120
0,2,3,,2,4,5,,,,65223752,112413846
0,2,3,,2,4,5,,,,65219280,112404741
0,2,3,,5,40,75,,,,65219280,112404742
0,2,3,,2,4,5,,,,65219279,112404739
0,2,3,,5,40,75,,,,65219279,112404740
0,3,6,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65222825,112411279
3,5,6,Mixed rock fragments,5,20,75,Nonflat,Subrounded,Indurated,65222825,112411280
0,2,3,Mixed rock fragments,75,140,250,Nonflat,Subrounded,Indurated,65222825,112411281
0,0,0,Mixed rock fragments,250,400,600,Nonflat,Subrounded,Indurated,65222825,112411282
0,0,0,Mixed rock fragments,600,775,1000,Nonflat,Subrounded,Indurated,65222825,112411283
0,3,6,,2,4,5,,,,65219647,112405237
3,5,6,,5,40,75,,,,65219647,112405238
0,2,3,,75,162,250,,,,65219647,112405239
0,6,11,,2,4,5,,,,65219635,112405202
0,3,6,,5,40,75,,,,65219635,112405203
0,2,3,,75,162,250,,,,65219635,112405204
0,4,8,,2,4,5,,,,65219404,112404938
0,2,3,,5,40,75,,,,65219404,112404939
0,3,6,,2,4,5,,,,65219646,112405234
3,5,6,,5,40,75,,,,65219646,112405235
0,2,3,,75,162,250,,,,65219646,112405236
0,6,11,,2,4,5,,,,65219415,112404966
0,3,6,,5,40,75,,,,65219415,112404967
0,2,3,,75,162,250,,,,65219415,112404968
0,3,6,,2,4,5,,,,65219271,112404724
3,5,6,,5,40,75,,,,65219271,112404725
0,2,3,,75,162,250,,,,65219271,112404726
0,2,3,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65222878,112411319
0,0,0,Mixed rock fragments,5,20,75,Nonflat,Subrounded,Indurated,65222878,112411320
0,0,0,Mixed rock fragments,75,140,250,Nonflat,Subrounded,Indurated,65222878,112411321
0,0,0,Mixed rock fragments,250,400,600,Nonflat,Subrounded,Indurated,65222878,112411322
0,0,0,Mixed rock fragments,600,775,1000,Nonflat,Subrounded,Indurated,65222878,112411323
0,6,11,,2,4,5,,,,65219625,112405174
0,3,6,,5,40,75,,,,65219625,112405175
0,2,3,,75,162,250,,,,65219625,112405176
0,3,6,,2,4,5,,,,65219365,112404874
3,5,6,,5,40,75,,,,65219365,112404875
0,6,11,,2,4,5,,,,65219636,112405205
0,3,6,,5,40,75,,,,65219636,112405206
0,2,3,,75,162,250,,,,65219636,112405207
0,3,6,,2,4,5,,,,65219406,112404943
3,5,6,,5,40,75,,,,65219406,112404944
0,2,3,,75,162,250,,,,65219406,112404945
0,3,6,,2,4,5,,,,65219417,112404971
3,5,6,,5,40,75,,,,65219417,112404972
0,2,3,,75,162,250,,,,65219417,112404973
0,2,3,,2,4,5,,,,65219273,112404729
0,3,6,,2,4,5,,,,65219360,112404862
3,5,6,,5,40,75,,,,65219360,112404863
0,2,3,,75,162,250,,,,65219360,112404864
0,3,6,,2,4,5,,,,65219408,112404948
0,2,3,,5,40,75,,,,65219408,112404949
0,6,11,,2,4,5,,,,65219626,112405177
0,3,6,,5,40,75,,,,65219626,112405178
0,2,3,,75,162,250,,,,65219626,112405179
0,6,11,,2,4,5,,,,65219615,112405144
0,3,6,,5,40,75,,,,65219615,112405145
0,2,3,,75,162,250,,,,65219615,112405146
0,6,11,,2,4,5,,,,65219276,112404733
0,2,3,,5,40,75,,,,65219276,112404734
0,0,4,Chert fragments,2,4,5,Nonflat,Well rounded,Indurated,65221733,112407637
0,0,3,Chert fragments,5,40,75,Nonflat,Well rounded,Indurated,65221733,112407638
0,6,11,,2,4,5,,,,65219413,112404960
0,3,6,,5,40,75,,,,65219413,112404961
0,2,3,,75,162,250,,,,65219413,112404962
0,6,11,,2,4,5,,,,65219637,112405208
0,3,6,,5,40,75,,,,65219637,112405209
0,2,3,,75,162,250,,,,65219637,112405210
0,3,6,,2,4,5,,,,65219645,112405232
3,5,6,,5,40,75,,,,65219645,112405233
0,2,3,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65222879,112411324
