hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Ap,NA,A,,NA,0,0,0,13,18,23,13,18,23,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,98,100,1,3,7,0,0,1,0.1,0.6,1,0.2,0.5,1,0.2,0.5,2,0.5,1.4,2,58,67,75,31,35,40,27,32,35,24,30,35,0,0,0,4,5,6,NA,NA,NA,1.22,1.32,1.42,NA,NA,NA,1.4,1.5,1.55,NA,1,3,10,0.22,0.23,0.24,NA,NA,NA,31.4,33.9,35.8,17.4,21.6,25.3,41,45,48,3,4.4,5.9,43,50,57,16,20,24,16,24,30,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.1,2,20.6,25.5,29.5,NA,NA,NA,16.2,21.3,29.3,5.1,5.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,9.2,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073927,65173048
AB,NA,AB,,NA,36,41,51,44,51,71,8,10,20,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,97,100,1,4,10,0,0,1,0.1,0.6,1,0.2,0.5,1,0.2,0.5,2,0.5,2.4,5,55,63,72,28,33,36,25,30,36,27,33,35,0,0,0,1.5,2.5,4,NA,NA,NA,1.3,1.37,1.43,NA,NA,NA,1.51,1.58,1.6,NA,1,3,10,0.2,0.21,0.22,NA,NA,NA,30.9,33.5,35.1,16.6,21.1,23.9,42,44,47,3,4.9,5.9,40,48,53,19,23,25,18,25,29,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.1,2,22.1,27,29,NA,NA,NA,18.3,23.5,28.4,5.1,5.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,8.5,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073927,65173050
BCg,NA,BC,,NA,97,107,151,110,200,200,13,93,100,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,89,97,100,1,5,10,0,0,1,0.1,0.3,1,0.2,0.3,1,0.2,0.5,2,0.5,3.9,5,55,70,79,28,40,43,25,30,36,20,25,35,0,0,0,0.25,0.5,0.75,NA,NA,NA,1.35,1.5,1.6,NA,NA,NA,1.5,1.65,1.75,NA,1,9,10,0.15,0.17,0.19,NA,NA,NA,27.8,30.2,34,12.3,15.7,22,37,41,46,3,3.2,5.9,31,36,46,13,17,25,10,16,27,0.49,0.49,0,0,15,0,0,0,0,0,0,0,0.1,2,15.7,19.7,27.2,NA,NA,NA,13.4,18.3,66.2,5.6,6.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,3.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073927,65173051
Btg,NA,B,,NA,44,51,71,97,107,151,51,56,90,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,92,97,100,1,5,10,0,0,1,0.1,0.3,1,0.2,0.3,1,0.2,0.5,2,0.5,3.9,5,55,62,72,28,33,39,25,29,33,27,33,35,0,0,0,0.5,1,2,NA,NA,NA,1.34,1.42,1.5,NA,NA,NA,1.55,1.63,1.66,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,30.4,32.9,34.2,16,20,22.3,41,43,46,3,4.8,5.9,38,45,49,19,23,25,17,24,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,21.2,26.1,28.2,NA,NA,NA,17.9,24.3,27.2,5.1,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6.8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073927,65173047
A,NA,A,,NA,13,18,23,36,41,51,23,23,28,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,98,100,1,3,7,0,0,1,0.1,0.6,1,0.2,0.5,1,0.2,0.5,2,0.5,1.4,2,58,67,75,31,35,40,27,32,35,24,30,35,0,0,0,4,5,6,NA,NA,NA,1.22,1.32,1.42,NA,NA,NA,1.4,1.5,1.55,NA,1,3,10,0.22,0.23,0.24,NA,NA,NA,31.4,33.9,35.8,17.4,21.6,25.3,41,45,48,3,4.4,5.9,43,50,57,16,20,24,16,24,30,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.1,2,20.6,25.5,29.5,NA,NA,NA,16.2,21.3,29.3,5.1,5.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,9.2,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073927,65173049
A2,NA,A,,2,18,30,42,24,46,60,6,16,18,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,95,99,100,0,2,5,0,0,0.2,0,0,0.2,0,0.3,0.6,0.1,0.5,2,0.1,1.2,3,60,65,73,32,34,38,28,31,35,27,33,35,0,0,0,2,3,4,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,1.51,1.54,1.56,NA,1,3,10,0.2,0.21,0.22,NA,NA,NA,30.9,33.5,34.7,16.7,21,23.2,45,45,47,3,5,5.9,41,49,53,19,23,25,21,28,34,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.1,2,22.3,27.2,29,NA,NA,NA,19.3,26.1,28.4,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.1,6.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073928,65173052
Ap,NA,A,,NA,0,0,0,17,20,29,17,20,29,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,95,99,100,0,2,5,0,0,0.2,0,0,0.2,0,0.3,0.6,0.1,0.5,2,0.1,1.2,3,60,66,73,32,35,38,28,31,35,27,32,35,0,0,0,6,6.5,7,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,1.43,1.46,1.48,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,33.8,35.4,36.4,21.5,24.6,26.6,46,47,48,3,3.1,5.9,49,54,58,18,21,24,21,28,34,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.1,2,23.3,27.3,29.6,NA,NA,NA,18.3,25.9,29.4,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,4.6,7.4,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073928,65173054
A1,NA,A,,1,17,20,29,18,30,42,1,10,13,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,95,99,100,0,2,5,0,0,0.2,0,0,0.2,0,0.3,0.6,0.1,0.5,2,0.1,1.2,3,60,65,73,32,34,38,28,31,35,27,33,35,0,0,0,3.5,4.5,5.5,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,1.51,1.54,1.56,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,32,34.5,35.6,18.5,22.8,24.9,44,45,46,3,5,5.9,44,52,56,19,22,24,21,28,34,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.1,2,22.8,27.6,29.4,NA,NA,NA,19.5,25.1,29.2,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.7,6.8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073928,65173055
Bg3,NA,B,,3,40,68,90,60,91,120,20,23,30,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,95,99,100,0,2,5,0,0,0.2,0,0,0.2,0,0.3,0.6,0.1,0.5,2,0.1,1.2,3,60,66,73,32,35,38,28,31,35,27,32,35,0,0,0,1,1.5,2,NA,NA,NA,1.28,1.32,1.35,NA,NA,NA,1.48,1.52,1.54,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,30,32.1,33.4,15.4,18.6,20.8,46,47,48,3,4.7,5.9,39,45,49,19,23,25,25,32,39,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,21.7,25.7,28.2,NA,NA,NA,20.3,25,27.2,6.1,6.7,7.3,6.1,6.2,7.3,NA,NA,NA,NA,NA,NA,2.7,5,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073928,65173057
Bg4,NA,B,,4,60,91,120,74,107,140,14,16,20,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,95,99,100,0,2,5,0,0,0.2,0,0,0.2,0,0.3,0.6,0.1,0.5,2,0.1,1.2,3,60,67,73,32,35,38,28,32,35,27,31,35,0,0,0,0.5,1,1.5,NA,NA,NA,1.28,1.32,1.35,NA,NA,NA,1.46,1.5,1.54,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,29.6,31.4,33,14.8,17.5,20.2,46,47,48,3,4.4,5.9,38,43,48,19,22,25,25,32,39,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,21.2,24.6,27.9,NA,NA,NA,20.1,23.6,26.5,6.1,6.7,7.3,6.1,6.2,7.3,NA,NA,NA,NA,NA,NA,2.5,4.7,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073928,65173058
