structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Medium,Subangular blocky,2,NA,37078410,45224536
Weak,Coarse,Prismatic,1,2,37078410,45224537
Moderate,Fine,Subangular blocky,NA,NA,37077336,45222972
Moderate,Very fine,Subangular blocky,NA,NA,37077336,45222973
Weak,Coarse,Subangular blocky,NA,NA,37078436,45224577
Weak,Fine,Granular,2,NA,37078418,45224550
Weak,Fine,Subangular blocky,1,2,37078418,45224551
Moderate,Fine,Granular,2,NA,37078392,45224504
Weak,Fine,Subangular blocky,1,2,37078392,45224505
Weak,Fine,Granular,NA,NA,37077759,45223568
Weak,Very coarse,Prismatic,NA,NA,37077768,45223577
Weak,Fine,Granular,NA,NA,37077770,45223579
Moderate,Fine,Subangular blocky,NA,NA,37077342,45222988
Moderate,Very fine,Subangular blocky,NA,NA,37077342,45222989
Moderate,Medium,Granular,NA,NA,37077332,45222966
Moderate,Fine,Granular,NA,NA,37077332,45222967
Weak,Medium,Subangular blocky,NA,NA,37078414,45224543
Weak,Medium,Prismatic,1,2,37077757,45223564
Weak,Medium,Subangular blocky,2,NA,37077757,45223565
Weak,Medium,Subangular blocky,2,NA,37078406,45224530
Weak,Medium,Prismatic,1,2,37078406,45224531
Moderate,Fine,Subangular blocky,NA,NA,37077749,45223556
,,Massive,NA,NA,37078400,45224519
Weak,Very fine,Subangular blocky,NA,NA,37078432,45224573
Moderate,Fine,Subangular blocky,NA,NA,37076923,45222400
,,Massive,3,NA,37078396,45224513
Weak,Medium,Subangular blocky,2,NA,37078396,45224514
Weak,Medium,Prismatic,1,2,37078396,45224515
Weak,Coarse,Prismatic,2,NA,37077271,45222873
,,Massive,1,2,37077271,45222874
,,Massive,NA,NA,37078422,45224557
Weak,Medium,Prismatic,1,2,37076925,45222402
Weak,Medium,Subangular blocky,2,NA,37076925,45222403
Moderate,Medium,Subangular blocky,NA,NA,37077724,45223523
Moderate,Fine,Granular,NA,NA,37077344,45222992
Moderate,Medium,Granular,NA,NA,37077344,45222993
Moderate,Medium,Subangular blocky,NA,NA,37077761,45223570
Moderate,Fine,Granular,2,NA,37077787,45223608
Weak,Fine,Subangular blocky,1,2,37077787,45223609
Weak,Medium,Subangular blocky,NA,NA,37078428,45224567
Weak,Coarse,Prismatic,NA,NA,37077334,45222969
Moderate,Medium,Subangular blocky,2,NA,37077269,45222869
Weak,Medium,Prismatic,1,2,37077269,45222870
Moderate,Fine,Subangular blocky,NA,NA,37077772,45223581
Moderate,Fine,Subangular blocky,NA,NA,37076915,45222392
Moderate,Fine,Subangular blocky,NA,NA,37077273,45222877
Moderate,Medium,Subangular blocky,NA,NA,37077273,45222878
Moderate,Medium,Granular,2,NA,37077728,45223529
