structgrpname,rvindicator,chkey,chstructgrpkey
weak medium subangular blocky structure,Yes,65219627,37113088
massive,Yes,65224142,37116704
"strong medium subangular blocky structure, and strong fine and medium prismatic structure",Yes,65219498,37112756
weak medium subangular blocky structure,Yes,65224138,37116707
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224132,37116687
massive parts to weak coarse prismatic structure,Yes,65222886,37116183
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224154,37116714
weak medium prismatic structure parting to moderate fine angular blocky structure,Yes,65221828,37116466
massive parts to weak coarse prismatic structure,Yes,65222877,37115295
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224966,37112297
weak medium granular structure,Yes,65219237,37114161
weak medium subangular blocky structure,Yes,65222824,37116176
massive,Yes,65224164,37116724
weak medium subangular blocky structure,Yes,65221865,37116472
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65224992,37117641
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,65222887,37116187
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65224106,37116199
weak fine granular structure,Yes,65222772,37115119
massive,Yes,65224153,37116713
massive,Yes,65224127,37116691
moderate very fine and fine subangular blocky structure,Yes,65221861,37116468
moderate medium granular structure,Yes,65222771,37115113
massive parts to weak thin platy structure,Yes,65224971,37112302
"weak medium prismatic structure parting to weak medium subangular blocky structure, and massive",Yes,65222876,37115293
weak very fine granular structure,Yes,65223751,37116334
moderate coarse prismatic structure parts to moderate fine subangular blocky structure,Yes,65221732,37115303
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224117,37116210
"weak medium prismatic structure, and massive",Yes,65219616,37114119
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224105,37116189
weak fine granular structure,Yes,65221721,37115331
weak medium subangular blocky structure,Yes,65224993,37117642
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219301,37112528
massive,Yes,65223752,37116335
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224143,37116705
moderate fine subangular blocky structure,Yes,65221821,37116456
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65223742,37115512
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65224116,37116209
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219522,37112580
weak medium subangular blocky structure,Yes,65219279,37112521
weak fine granular structure,Yes,65219352,37112542
moderate medium subangular blocky structure,Yes,65224146,37116730
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65224967,37112298
"strong fine and medium subangular blocky structure, and strong fine and medium angular blocky structure",Yes,65221725,37115336
moderate fine subangular blocky structure,Yes,65222825,37116170
weak very coarse prismatic structure,Yes,65222773,37115117
weak fine subangular blocky structure,Yes,65219635,37114127
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65224120,37116213
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224139,37116701
moderate fine subangular blocky structure,Yes,65222749,37116121
massive,Yes,65223754,37116332
moderate medium granular structure,Yes,65219404,37112552
moderate medium prismatic structure parting to moderate medium subangular blocky structure,Yes,65224128,37116692
moderate medium granular structure,Yes,65224970,37112301
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219234,37112510
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224131,37116686
weak medium subangular blocky structure,Yes,65219541,37112589
moderate fine granular structure,Yes,65221824,37116457
"massive, and weak coarse subangular blocky structure",Yes,65219230,37114160
moderate very fine and fine subangular blocky structure,Yes,65221820,37116455
"moderate medium subangular blocky structure, and weak coarse prismatic structure",Yes,65219229,37114159
"massive, and weak coarse subangular blocky structure",Yes,65219240,37114164
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65223743,37115513
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65224963,37112294
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219310,37112529
"weak medium prismatic structure parts to weak medium subangular blocky structure, and massive",Yes,65224135,37116689
"moderate very fine subangular blocky structure, and weak very fine subangular blocky structure, and weak fine subangular blocky structure",Yes,65222875,37115294
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224124,37116697
moderate fine subangular blocky structure,Yes,65221862,37116469
moderate fine subangular blocky structure,Yes,65222823,37116152
massive,Yes,65224157,37116717
massive,Yes,65222801,37116150
weak coarse prismatic structure parting to weak coarse subangular blocky structure,Yes,65221825,37116460
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65222878,37115296
weak medium prismatic structure parting to moderate medium subangular blocky structure,Yes,65219625,37114124
weak medium prismatic structure parting to moderate fine subangular blocky structure,Yes,65224113,37116203
moderate fine subangular blocky structure,Yes,65219636,37114129
moderate fine subangular blocky structure,Yes,65222751,37116117
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65224985,37117635
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224989,37117636
weak medium subangular blocky structure,Yes,65219273,37112522
massive,Yes,65224109,37116195
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219519,37112581
"weak medium prismatic structure parts to weak medium subangular blocky structure, and massive",Yes,65224151,37116711
moderate fine subangular blocky structure,Yes,65219626,37114123
moderate fine subangular blocky structure,Yes,65222795,37116136
massive,Yes,65221724,37115335
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224119,37116212
moderate medium subangular blocky structure,Yes,65222743,37116124
moderate fine subangular blocky structure,Yes,65219615,37114116
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65222816,37116166
