texcl,lieutex,chtgkey,chtkey
Silt loam,,131349424,133608634
Silty clay loam,,131352625,133611809
Silty clay loam,,131354433,133608360
Silt loam,,131351384,133608257
Loam,,131352762,133611820
Silty clay loam,,131352747,133610694
Silty clay loam,,131351385,133609174
Silty clay loam,,131352614,133610680
Silt loam,,131351374,133607563
Silty clay loam,,131354418,133609791
Silty clay loam,,131349417,133609304
Silt loam,,131349431,133606850
Clay loam,,131352761,133610797
Silty clay loam,,131354429,133609797
Silty clay loam,,131354407,133610351
Silty clay loam,,131352751,133610787
Silty clay loam,,131354403,133610367
Silt loam,,131351376,133607708
Silty clay loam,,131349420,133608635
Silt loam,,131352618,133610781
Silty clay loam,,131352624,133611808
Silty clay loam,,131354434,133609799
Silty clay loam,,131354423,133610358
Silty clay loam,,131351380,133609171
Clay loam,,131354424,133610360
Silty clay loam,,131354414,133608346
Silt loam,,131349416,133608639
Silt loam,,131354425,133610362
Silt loam,,131349421,133606845
Silty clay loam,,131352755,133610687
Silty clay loam,,131354422,133610356
Silt loam,,131354412,133610544
Silt loam,,131351379,133607704
Silty clay loam,,131354402,133610366
Silt loam,,131354408,133610353
Silty clay loam,,131354413,133608344
Silty clay loam,,131351390,133609176
Silt loam,,131349422,133608474
Silty clay loam,,131349430,133609301
Clay loam,,131352760,133611671
Silty clay loam,,131354439,133610363
Silt loam,,131352749,133610684
Silt loam,,131352756,133610788
Silt loam,,131352620,133610783
Silt loam,,131351389,133607433
Silty clay loam,,131352745,133610795
Silt loam,,131354416,133608350
Silt loam,,131354410,133610542
Silty clay loam,,131351381,133608254
Silty clay loam,,131352744,133611669
Silty clay loam,,131354411,133609789
Silt loam,,131352752,133610682
Silty clay loam,,131354420,133609794
Silty clay loam,,131351383,133608978
Silty clay loam,,131349425,133609297
Silty clay loam,,131351382,133608258
Silt loam,,131352623,133611806
Silt loam,,131354436,133609801
Silty clay loam,,131352757,133610784
Silty clay loam,,131354438,133609804
Silty clay loam,,131349415,133609302
Silt loam,,131349426,133608470
Silty clay loam,,131351378,133607039
Silty clay loam,,131354427,133609796
Silt loam,,131352616,133606702
Silty clay loam,,131354409,133609787
Silty clay loam,,131349427,133608472
Silty clay loam,,131354431,133608356
Clay loam,,131352763,133611822
Silty clay loam,,131352617,133611386
Silt loam,,131354421,133610549
Silty clay loam,,131352627,133611813
Silty clay loam,,131351372,133606541
Silty clay loam,,131349423,133608476
Silt loam,,131352622,133605477
Clay loam,,131352759,133611824
Silty clay loam,,131354437,133610556
Silty clay loam,,131352750,133610686
Silt loam,,131352746,133610692
Silty clay loam,,131351387,133607429
Silty clay loam,,131354405,133609805
Silty clay loam,,131354426,133610551
Silty clay loam,,131349414,133606851
Silty clay loam,,131354404,133610369
Silty clay loam,,131354428,133610552
Silty clay loam,,131354417,133608352
Loam,,131352748,133610696
Silt loam,,131354415,133608348
Silt loam,,131352758,133611391
Silty clay loam,,131351375,133606539
Silt loam,,131352613,133610678
Silty clay loam,,131351386,133607427
Silty clay loam,,131349413,133608641
Silt loam,,131354406,133610558
Clay loam,,131354435,133610554
Silty clay loam,,131352621,133605475
Silty clay loam,,131351388,133607431
Silt loam,,131352628,133611389
Silty clay loam,,131351377,133607706
Silty clay loam,,131352753,133611393
Silt loam,,131349429,133608467
Silt loam,,131349419,133606847
Silty clay loam,,131349418,133608637
Silty clay loam,,131349428,133609298
Silty clay loam,,131352619,133611388
Silt loam,,131354432,133608358
Silt loam,,131352626,133611811
Silty clay loam,,131351373,133607041
Silt loam,,131354419,133610546
Silt loam,,131354430,133608354
Silt loam,,131352754,133610790
Silty clay loam,,131352615,133605962
Silty clay loam,,131352743,133610691
