texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,No ,Silt loam,65173683,131352623
SICL,No ,Yes,Silty clay loam,65173683,131352624
L,No ,No ,Loam,65173749,131352762
CL,No ,Yes,Clay loam,65173749,131352763
SICL,No ,Yes,Silty clay loam,65173058,131351387
SICL,No ,No ,Silty clay loam,65173059,131351388
SIL,No ,Yes,Silt loam,65173059,131351389
SICL,No ,Yes,Silty clay loam,65173047,131351372
SICL,No ,Yes,Silty clay loam,65173048,131351373
SIL,No ,No ,Silt loam,65173048,131351374
SIL,No ,No ,Silt loam,65171977,131349426
SICL,No ,Yes,Silty clay loam,65171977,131349427
SICL,No ,Yes,Silty clay loam,65174625,131354411
SICL,No ,Yes,Silty clay loam,65173738,131352744
SICL,No ,No ,Silty clay loam,65173685,131352627
SIL,No ,Yes,Silt loam,65173685,131352628
SICL,No ,Yes,Silty clay loam,65174624,131354409
SIL,No ,No ,Silt loam,65174624,131354410
SICL,No ,Yes,Silty clay loam,65173737,131352743
SIL,No ,No ,Silt loam,65171975,131349422
SICL,No ,Yes,Silty clay loam,65171975,131349423
CL,No ,Yes,Clay loam,65173748,131352761
SICL,No ,No ,Silty clay loam,65173051,131351378
SIL,No ,Yes,Silt loam,65173051,131351379
SICL,No ,Yes,Silty clay loam,65174633,131354426
SICL,No ,Yes,Silty clay loam,65174634,131354427
SICL,No ,Yes,Silty clay loam,65173684,131352625
SIL,No ,No ,Silt loam,65173684,131352626
SICL,No ,Yes,Silty clay loam,65174623,131354407
SIL,No ,No ,Silt loam,65174623,131354408
SICL,No ,Yes,Silty clay loam,65173055,131351383
CL,No ,Yes,Clay loam,65173747,131352760
SICL,No ,Yes,Silty clay loam,65174641,131354438
SICL,No ,Yes,Silty clay loam,65171969,131349413
SICL,No ,Yes,Silty clay loam,65173050,131351377
SICL,No ,Yes,Silty clay loam,65174637,131354431
SIL,No ,No ,Silt loam,65174637,131354432
SICL,No ,Yes,Silty clay loam,65174622,131354405
SIL,No ,No ,Silt loam,65174622,131354406
SICL,No ,Yes,Silty clay loam,65173680,131352617
SIL,No ,No ,Silt loam,65173680,131352618
SICL,No ,Yes,Silty clay loam,65173060,131351390
SICL,No ,Yes,Silty clay loam,65174619,131354402
SICL,No ,Yes,Silty clay loam,65173739,131352745
SICL,No ,Yes,Silty clay loam,65174630,131354420
SIL,No ,No ,Silt loam,65174630,131354421
SIL,No ,No ,Silt loam,65171976,131349424
SICL,No ,Yes,Silty clay loam,65171976,131349425
SICL,No ,Yes,Silty clay loam,65171973,131349418
SIL,No ,No ,Silt loam,65171973,131349419
SIL,No ,No ,Silt loam,65174626,131354412
SICL,No ,Yes,Silty clay loam,65174626,131354413
CL,No ,Yes,Clay loam,65173746,131352759
SIL,No ,Yes,Silt loam,65171972,131349416
SICL,No ,No ,Silty clay loam,65171972,131349417
SICL,No ,Yes,Silty clay loam,65173052,131351380
SICL,No ,Yes,Silty clay loam,65173744,131352755
SIL,No ,No ,Silt loam,65173744,131352756
SICL,No ,Yes,Silty clay loam,65174638,131354433
SICL,No ,Yes,Silty clay loam,65174640,131354437
SICL,No ,Yes,Silty clay loam,65171979,131349430
SIL,No ,No ,Silt loam,65171979,131349431
SICL,No ,Yes,Silty clay loam,65174627,131354414
SIL,No ,No ,Silt loam,65174627,131354415
