ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,22073717,8092663
NRCS Rangeland Site,Ecological Site Description Database,R108CY503IA,Loess Upland Prairie,22073718,8092463
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,22073927,8092772
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,22073928,8092501
NRCS Rangeland Site,Ecological Site Description Database,R108CY503IA,Loess Upland Prairie,22074067,8092678
NRCS Rangeland Site,Ecological Site Description Database,R108CY503IA,Loess Upland Prairie,22074068,8092719
NRCS Forestland Site,Ecological Site Description Database,F108CY520IA,Upland Drainageway Woodland,22074095,8092699
NRCS Rangeland Site,Ecological Site Description Database,R108CY519IA,Wet Upland Drainageway Prairie,22074095,8092700
NRCS Rangeland Site,Ecological Site Description Database,R108CY503IA,Loess Upland Prairie,22074096,8092493
NRCS Rangeland Site,Ecological Site Description Database,R109XY006MO,Till Upland Prairie ,22074097,8092611
NRCS Rangeland Site,Ecological Site Description Database,R108CY519IA,Wet Upland Drainageway Prairie,22074289,8092489
NRCS Forestland Site,Ecological Site Description Database,F108CY520IA,Upland Drainageway Woodland,22074290,8092692
NRCS Forestland Site,Ecological Site Description Database,F108CY521IA,Colluvial Woodland,22074290,8092693
NRCS Rangeland Site,Ecological Site Description Database,R108CY519IA,Wet Upland Drainageway Prairie,22074290,8092694
NRCS Forestland Site,Ecological Site Description Database,F108CY501IA,Shallow Limestone Backslope Glade,22074291,8092569
NRCS Rangeland Site,Ecological Site Description Database,R108CY519IA,Wet Upland Drainageway Prairie,22074291,8092570
NRCS Forestland Site,Ecological Site Description Database,F108CY520IA,Upland Drainageway Woodland,22074292,8092527
NRCS Rangeland Site,Ecological Site Description Database,R108CY519IA,Wet Upland Drainageway Prairie,22074292,8092528
