plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
ACSA2,Acer saccharinum,silver maple,NA,NA,80,NA,NA,29,NA,22087253,30915335
PODE3,Populus deltoides,eastern cottonwood,NA,NA,90,NA,NA,100,NA,22087253,30915336
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087287,30915311
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087287,30915312
QUAL,Quercus alba,white oak,NA,NA,56,NA,NA,43,NA,22087288,30915313
QUMA3,Quercus marilandica,blackjack oak,NA,NA,NA,NA,NA,0,NA,22087288,30915314
QUVE,Quercus velutina,black oak,NA,NA,63,NA,NA,43,NA,22087288,30915315
QURU,Quercus rubra,northern red oak,NA,NA,61,NA,NA,43,NA,22087288,30915316
QUST,Quercus stellata,post oak,NA,NA,53,NA,NA,43,NA,22087288,30915317
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087289,30915445
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087289,30915446
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087290,30915447
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087290,30915448
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087291,30915318
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087291,30915319
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087317,30915337
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087317,30915338
JUNI,Juglans nigra,black walnut,NA,NA,NA,NA,NA,0,NA,22087320,30915463
LITU,Liriodendron tulipifera,tuliptree,NA,NA,90,NA,NA,86,NA,22087320,30915464
QURU,Quercus rubra,northern red oak,NA,NA,80,NA,NA,57,NA,22087320,30915465
QUAL,Quercus alba,white oak,NA,NA,80,NA,NA,57,NA,22087320,30915466
LITU,Liriodendron tulipifera,tuliptree,NA,NA,90,NA,NA,86,NA,22087321,30915341
QUAL,Quercus alba,white oak,NA,NA,80,NA,NA,57,NA,22087321,30915342
JUNI,Juglans nigra,black walnut,NA,NA,NA,NA,NA,0,NA,22087321,30915343
QURU,Quercus rubra,northern red oak,NA,NA,80,NA,NA,57,NA,22087321,30915344
LITU,Liriodendron tulipifera,tuliptree,NA,NA,90,NA,NA,86,NA,22087323,30915345
QUAL,Quercus alba,white oak,NA,NA,80,NA,NA,57,NA,22087323,30915346
JUNI,Juglans nigra,black walnut,NA,NA,NA,NA,NA,0,NA,22087323,30915347
QURU,Quercus rubra,northern red oak,NA,NA,80,NA,NA,57,NA,22087323,30915348
QUAL,Quercus alba,white oak,NA,NA,65,NA,NA,43,NA,22087329,30915355
QURU,Quercus rubra,northern red oak,NA,NA,65,NA,NA,43,NA,22087329,30915356
JUNI,Juglans nigra,black walnut,NA,NA,NA,NA,NA,0,NA,22087330,30915357
LITU,Liriodendron tulipifera,tuliptree,NA,NA,90,NA,NA,86,NA,22087330,30915358
QURU,Quercus rubra,northern red oak,NA,NA,80,NA,NA,57,NA,22087330,30915359
QUAL,Quercus alba,white oak,NA,NA,80,NA,NA,57,NA,22087330,30915360
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087345,30915415
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087345,30915416
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087346,30915417
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087346,30915418
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087353,30915419
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087353,30915420
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087354,30915421
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087354,30915422
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087357,30915472
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087357,30915473
QUAL,Quercus alba,white oak,NA,NA,55,NA,NA,43,NA,22087358,30915474
QURU,Quercus rubra,northern red oak,NA,NA,55,NA,NA,43,NA,22087358,30915475
