geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,drainageways,,1,2,Yes,22088447,34393951
Landscape,till plains,dissected,2,NA,Yes,22088447,34395396
Landform,drainageways,,1,2,Yes,22088448,34393950
Landform,alluvial fans,,3,4,No ,22088448,34393788
Landscape,till plains,dissected,2,NA,Yes,22088448,34395395
Landscape,river valleys,,4,NA,No ,22088448,34395296
Landform,drainageways,,1,2,Yes,22088449,34393949
Landscape,till plains,dissected,2,NA,Yes,22088449,34395394
Landform,drainageways,,1,2,Yes,22088450,34393948
Landscape,till plains,dissected,2,NA,Yes,22088450,34395393
Landform,interfluves,,1,2,Yes,22088132,34393995
Landscape,till plains,dissected,2,NA,Yes,22088132,34395322
Landform,interfluves,,1,2,Yes,22088133,34393994
Landscape,till plains,dissected,2,NA,Yes,22088133,34395321
Landform,interfluves,,1,2,Yes,22088136,34393993
Landscape,till plains,dissected,2,NA,Yes,22088136,34395320
Landform,interfluves,,1,2,Yes,22088137,34393992
Landscape,till plains,dissected,2,NA,Yes,22088137,34395319
Landform,interfluves,,1,2,Yes,22088142,34394020
Landscape,till plains,dissected,2,NA,Yes,22088142,34395344
Landform,interfluves,,1,2,Yes,22088143,34394019
Landscape,till plains,dissected,2,NA,Yes,22088143,34395343
Landform,drainageways,,1,2,Yes,22088147,34393945
Landscape,till plains,dissected,2,NA,Yes,22088147,34395342
Landform,hillslopes,,1,2,Yes,22088148,34393806
Landscape,till plains,dissected,2,NA,Yes,22088148,34395341
Landform,hillslopes,,1,2,Yes,22088149,34393805
Landscape,till plains,dissected,2,NA,Yes,22088149,34395340
Landform,flood plains,,1,2,Yes,22088442,34393966
Landscape,river valleys,,2,NA,Yes,22088442,34395250
Landform,drainageways,,1,2,Yes,22088443,34393944
Landscape,till plains,dissected,2,NA,Yes,22088443,34395339
Landform,flood plains,,1,2,Yes,22088444,34393965
Landscape,river valleys,,2,NA,Yes,22088444,34395249
Landform,flood plains,,1,2,Yes,22088440,34393964
Landscape,river valleys,,2,NA,Yes,22088440,34395248
Landform,flood plains,,1,2,Yes,22088441,34393963
Landscape,river valleys,,2,NA,Yes,22088441,34395247
Landform,interfluves,,1,2,Yes,22087911,34394027
Landscape,till plains,dissected,2,NA,Yes,22087911,34395403
Landform,interfluves,,1,2,Yes,22087912,34394026
Landscape,till plains,dissected,2,NA,Yes,22087912,34395402
Landform,hillslopes,,1,2,Yes,22087917,34393801
Landscape,till plains,dissected,2,NA,Yes,22087917,34395331
Landform,drainageways,upland,1,2,Yes,22087918,34393942
Landscape,till plains,dissected,2,NA,Yes,22087918,34395330
Landform,hillslopes,,1,2,Yes,22087919,34393800
Landscape,till plains,dissected,2,NA,Yes,22087919,34395329
Landform,hillslopes,,2,1,Yes,22087891,34393830
Landscape,till plains,dissected,1,NA,Yes,22087891,34395326
Landform,hillslopes,,2,1,Yes,22087892,34393829
Landscape,till plains,dissected,1,NA,Yes,22087892,34395389
Landform,hillslopes,,1,2,Yes,22087893,34393828
Landscape,uplands,,2,NA,Yes,22087893,34395453
Landform,hillslopes,,1,2,Yes,22087287,34393825
Landscape,uplands,,2,NA,Yes,22087287,34395450
Landform,hillslopes,,1,2,Yes,22087288,34393824
Landscape,uplands,,2,NA,Yes,22087288,34395449
Landform,hillslopes,,1,2,Yes,22087289,34393898
Landscape,uplands,,2,NA,Yes,22087289,34395490
Landform,hillslopes,,1,2,Yes,22087290,34393897
Landscape,uplands,,2,NA,Yes,22087290,34395489
Landform,hillslopes,,1,2,Yes,22087291,34393823
Landscape,uplands,,2,NA,Yes,22087291,34395448
Landform,hillslopes,,1,2,Yes,22087292,34393822
Landscape,uplands,,2,NA,Yes,22087292,34395447
Landform,hillslopes,,1,2,Yes,22088158,34393819
Landscape,till plains,dissected,2,NA,Yes,22088158,34395386
Landform,hillslopes,,1,2,Yes,22088159,34393818
Landscape,till plains,dissected,2,NA,Yes,22088159,34395385
Landform,hillslopes,,1,2,Yes,22088160,34393817
Landscape,till plains,dissected,2,NA,Yes,22088160,34395384
Landform,hillslopes,,1,2,Yes,22088161,34393816
Landscape,till plains,dissected,2,NA,Yes,22088161,34395383
Landform,flood plains,,1,2,Yes,22088355,34393962
Landscape,river valleys,,2,NA,Yes,22088355,34395246
Landform,flood plains,,1,2,Yes,22088356,34393961
Landscape,river valleys,,2,NA,Yes,22088356,34395245
Landform,flood plains,,1,2,Yes,22088357,34393960
Landscape,river valleys,,2,NA,Yes,22088357,34395244
Landform,flood plains,,1,2,Yes,22088358,34393959
Landscape,river valleys,,2,NA,Yes,22088358,34395243
Landform,hillslopes,,1,2,Yes,22087244,34393882
Landscape,uplands,,2,NA,Yes,22087244,34395472
