cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
22073717,54647,SOH - Soil Surface Sealing,0,54647,SOH - Soil Surface Sealing,0,0,Low,0,Low,0,Low,0,Low,1,0,0,1572032757
22073717,1404,URB/REC - Camp Areas,2,10624,"Percolation & Taxon Modification  to 40""",1,0,Ksat not restrictive,0.154,Slow water movement,0.154,Slow water movement,0.944,Slow water movement,0,0,0,1572032758
22073717,70134,SOH - Dynamic Soil Properties Response to Biochar,2,70131,SOH - Ksat Max 0-30cm,1,0,Ksat response low,0,Ksat response low,0,Ksat response low,0,Ksat response low,0,0,0,1572032759
22073717,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),2,58535,"USFS Region 4, Native Surface Roads - Water Table v2",1,0,Depth to water table,0,Depth to water table,0,Depth to water table,0.556,Depth to water table,0,0,0,1572032760
22073717,57990,SOH - Soil Susceptibility to Compaction,0,57990,SOH - Soil Susceptibility to Compaction,0,0.346,Medium,0.346,Medium,0.346,Medium,0.346,Medium,0,0,0,1572032761
22073717,1404,URB/REC - Camp Areas,3,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032762
22073717,70134,SOH - Dynamic Soil Properties Response to Biochar,3,70123,SOH - MEQ 0-30cm,1,0,Adsorptive capacity response low,0,Adsorptive capacity response low,0,Adsorptive capacity response low,0,Adsorptive capacity response low,0,0,0,1572032763
22073717,58534,FOR (USFS) - Road Construction/Maintenance (Natural Surface),3,56154,"USFS Region 4, Native Surface Roads - Slope and LEP",1,0.269,Shrink-swell,0.269,Shrink-swell,0.269,Shrink-swell,0.269,Shrink-swell,0,0,0,1572032764
22073717,57990,SOH - Soil Susceptibility to Compaction,1,61418,Compaction potential - texture and clay,1,1,"Soil texture, 0-12 inches",1,"Soil texture, 0-12 inches",1,"Soil texture, 0-12 inches",1,"Soil texture, 0-12 inches",0,0,0,1572032765
22073717,1406,URB/REC - Paths and Trails,0,1406,URB/REC - Paths and Trails,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032766
22073717,70134,SOH - Dynamic Soil Properties Response to Biochar,4,70124,"SOH - Organic Carbon, kg/m2 to 30cm",1,0,Organic carbon response low,0,Organic carbon response low,0,Organic carbon response low,0,Organic carbon response low,0,0,0,1572032767
22073717,825,"GRL - Fencing, Post Depth =<24 inches",0,825,"GRL - Fencing, Post Depth =<24 inches",0,0.846,Limited,1,Very limited,1,Very limited,1,Very limited,1,1,0,1572032768
22073717,57990,SOH - Soil Susceptibility to Compaction,2,61419,Compaction potential - rock fragment volume,1,1,"Rock fragments, 0-12 inches",1,"Rock fragments, 0-12 inches",1,"Rock fragments, 0-12 inches",1,"Rock fragments, 0-12 inches",0,0,0,1572032769
22073717,1406,URB/REC - Paths and Trails,1,414,"Wet, Ground Water Near the Surface (30 - 60cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032770
22073717,70134,SOH - Dynamic Soil Properties Response to Biochar,5,70130,SOH - Bulk Density Ratio Max 0-30cm,1,0.044,Bulk density response,0.044,Bulk density response,0.044,Bulk density response,0.044,Bulk density response,0,0,0,1572032771
