monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104849
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104856
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104853
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104854
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104858
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104847
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104850
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104855
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104852
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104851
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104848
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073927,231104857
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104870
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104866
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104863
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104864
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104867
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104869
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104868
