comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
90,95,100,Muscatine,Series,Yes,,,0,1,2,NA,91,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,200,282,360,0,180,360,interfluves on till plains,NA,0.09,NA,7.6,9.2,10.7,866,912,959,NA,NA,NA,170,183,206,1,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Aquic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Hapludolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409403,22073927
0,5,10,Garwin,Series,No ,,,0,1,2,NA,91,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,Yes,Poorly drained,200,282,360,0,180,360,"till plains, -- Error in Exists On --",NA,0.09,NA,7.6,9.2,10.7,866,912,959,NA,NA,NA,170,183,206,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409403,22073928
0,5,10,Judson,Series,No ,,,2,4,5,NA,61,NA,Low,5,48,6,Class 1,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Well drained,170,260,363,0,100,360,drainageways on till plains,NA,0.09,NA,7.6,9.3,10.7,865,920,978,NA,NA,NA,149,162,179,2,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Low,Moderate,"Fine-silty, mixed, superactive, mesic Cumulic Hapludolls",Mollisols,Udolls,Hapludolls,Cumulic Hapludolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409404,22074289
35,40,50,Ely,Series,Yes,,,2,4,5,NA,61,NA,Low,5,48,6,Class 1,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Somewhat poorly drained,170,260,363,0,180,360,"drainageways on till plains, alluvial fans on river valleys",NA,0.16,NA,7.6,9.3,10.7,865,920,978,NA,NA,NA,149,162,179,2,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Cumulic Hapludolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409404,22074290
30,50,65,Colo,Series,Yes,,,0,1,2,NA,91,NA,Low,5,48,6,None - deposition,Grass/herbaceous cover,Other grass/herbaceous cover,Farmable under natural conditions,Yes,Poorly drained,170,260,363,0,180,360,drainageways on till plains,NA,0.02,NA,7.6,9.3,10.7,865,920,978,NA,NA,NA,149,162,179,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409404,22074291
0,5,10,Colo,Series,No ,,frequently flooded,0,1,2,NA,91,NA,Low,5,48,6,None - deposition,Grass/herbaceous cover,Other grass/herbaceous cover,Farmable under natural conditions,Yes,Poorly drained,170,260,363,0,180,360,drainageways on till plains,NA,0.02,NA,7.6,9.3,10.7,865,920,978,NA,NA,NA,149,162,179,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409404,22074292
0,5,10,Muscatine,Series,No ,,,2,3,5,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,Farmable under natural conditions,No,Somewhat poorly drained,189,286,362,0,180,360,interfluves on till plains,NA,0.09,NA,7.6,9,10.7,883,909,958,NA,NA,NA,167,181,206,2,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Hapludolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409406,22073717
90,95,100,Tama,Series,Yes,,,2,4,5,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,Farmable under natural conditions,No,Well drained,189,286,362,0,180,360,interfluves on till plains,NA,0.09,NA,7.6,9,10.7,883,909,958,NA,NA,NA,167,181,206,2,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-silty, mixed, superactive, mesic Typic Argiudolls",Mollisols,Udolls,Argiudolls,Typic Argiudolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409406,22073718
80,90,100,Tama,Taxadjunct,Yes,,eroded,5,7,9,NA,61,NA,Medium,5,48,6,Class 2,Crop cover,Row crop,Farmable under natural conditions,No,Well drained,188,279,355,0,180,360,interfluves on till plains,NA,0.23,NA,7.6,9.2,10.6,885,911,949,NA,NA,NA,168,182,206,3,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-silty, mixed, superactive, mesic Dystric Eutrudepts",Inceptisols,Udepts,Eutrudepts,Dystric Eutrudepts,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409408,22074067
0,10,20,Osco,Taxadjunct,No ,,eroded,5,7,9,NA,61,NA,Medium,5,48,6,Class 2,Crop cover,Row crop,Farmable under natural conditions,No,Well drained,188,279,355,0,180,360,interfluves on till plains,NA,0.23,NA,7.6,9.2,10.6,885,911,949,NA,NA,NA,168,182,206,3,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Moderate,High,"Fine-silty, mixed, superactive, mesic Dystric Eutrudepts",Inceptisols,Udepts,Eutrudepts,Dystric Eutrudepts,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,409408,22074068
