pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Fine-silty,,Loess,,16245094,22997319
NA,Fine-silty,,Loess,,16244954,22997144
NA,Fine-silty,,Loess,,16245113,22997338
NA,Silty,,Colluvium,,16245112,22997337
NA,Fine-silty,,Loess,,16244953,22997143
NA,,silty,Alluvium,,16245310,22997554
NA,Fine-silty,,Loess,,16244745,22996918
NA,Fine-silty,,Loess,,16244746,22996919
NA,Silty,,Colluvium,,16245309,22997553
NA,Fine-silty,,Loess,,16245095,22997320
NA,,silty,Alluvium,,16245311,22997555
NA,Silty,,Colluvium,,16245308,22997552
NA,,silty,Colluvium,,16245308,22997551
NA,Fine-loamy,,Till,,16245114,22997339
