pmgroupname,rvindicator,cokey,copmgrpkey
fine-silty loess,Yes,22073717,16244745
fine-silty loess,Yes,22073718,16244746
fine-silty loess,Yes,22073927,16244953
fine-silty loess,Yes,22073928,16244954
fine-silty loess,Yes,22074067,16245094
fine-silty loess,Yes,22074068,16245095
silty colluvium,Yes,22074095,16245112
fine-silty loess,Yes,22074096,16245113
fine-loamy till,Yes,22074097,16245114
silty colluvium,Yes,22074289,16245308
silty colluvium,Yes,22074290,16245309
silty alluvium,Yes,22074291,16245310
silty alluvium,Yes,22074292,16245311
