reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Abrupt textural change,,NA,28,NA,NA,NA,NA,NA,NA,NA,22087245,6181894
Abrupt textural change,,NA,33,NA,NA,NA,NA,NA,NA,NA,22087246,6181895
Abrupt textural change,,NA,46,NA,NA,NA,NA,NA,NA,NA,22087247,6181896
Abrupt textural change,,NA,33,NA,NA,NA,NA,NA,NA,NA,22087274,6181905
Abrupt textural change,,NA,46,NA,NA,NA,NA,NA,NA,NA,22087290,6181909
Abrupt textural change,,NA,33,NA,NA,NA,NA,NA,NA,NA,22087292,6181910
Abrupt textural change,,NA,46,NA,NA,NA,NA,NA,NA,NA,22087345,6181917
Abrupt textural change,,NA,46,NA,NA,NA,NA,NA,NA,NA,22087354,6181920
Abrupt textural change,,NA,46,NA,NA,NA,NA,NA,NA,NA,22087355,6181921
Abrupt textural change,,NA,46,NA,NA,NA,NA,NA,NA,NA,22087358,6181922
Abrupt textural change,,NA,46,NA,NA,NA,NA,NA,NA,NA,22087359,6181923
Abrupt textural change,Noncemented,8,10,23,122,135,152,107,125,144,22087893,6181980
Abrupt textural change,Noncemented,8,15,24,30,35,65,20,20,30,22088159,6182007
Abrupt textural change,Noncemented,8,15,24,30,35,65,20,20,30,22088161,6182008
