soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,200,200,200,Moist,231106789,145109210
183,183,200,200,200,200,Wet,231106533,145108871
0,0,0,183,183,200,Moist,231106533,145108872
168,168,200,200,200,200,Wet,231106537,145108879
0,0,0,168,168,200,Moist,231106537,145108880
91,91,168,200,200,200,Wet,231106777,145109196
0,0,0,91,91,168,Moist,231106777,145109197
15,15,61,200,200,200,Wet,231109139,145113511
0,0,0,15,15,61,Moist,231109139,145113512
61,61,137,200,200,200,Wet,231109113,145113459
0,0,0,61,61,137,Moist,231109113,145113460
0,0,0,107,107,183,Moist,231104855,145105886
107,107,183,200,200,200,Wet,231104855,145105887
0,0,0,200,200,200,Moist,231102357,145101411
0,0,0,91,91,168,Moist,231106778,145109198
91,91,168,200,200,200,Wet,231106778,145109199
0,0,0,200,200,200,Moist,231106798,145109219
0,0,0,200,200,200,Moist,231106522,145108854
0,0,0,15,15,61,Moist,231109128,145113489
15,15,61,200,200,200,Wet,231109128,145113490
0,0,0,200,200,200,Moist,231106799,145109220
61,61,107,200,200,200,Wet,231104859,145105894
0,0,0,61,61,107,Moist,231104859,145105895
0,0,0,203,203,203,Moist,231109102,145113442
0,0,0,91,91,168,Moist,231106767,145109176
91,91,168,200,200,200,Wet,231106767,145109177
0,0,0,200,200,200,Moist,231106788,145109209
76,76,152,200,200,200,Wet,231109117,145113467
0,0,0,76,76,152,Moist,231109117,145113468
0,0,0,46,46,91,Moist,231104870,145105916
46,46,91,200,200,200,Wet,231104870,145105917
0,0,0,15,15,61,Moist,231104862,145105900
15,15,61,200,200,200,Wet,231104862,145105901
137,137,198,200,200,200,Wet,231106529,145108863
0,0,0,137,137,198,Moist,231106529,145108864
107,107,183,200,200,200,Wet,231109109,145113451
0,0,0,107,107,183,Moist,231109109,145113452
0,0,0,200,200,200,Moist,231106796,145109217
0,0,0,203,203,203,Moist,231109098,145113438
46,46,122,200,200,200,Wet,231104851,145105878
0,0,0,46,46,122,Moist,231104851,145105879
0,0,0,200,200,200,Moist,231106518,145108850
