geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Base Slope,,,34368451,13154225
NA,Interfluve,,,34367713,13153749
NA,Side Slope,,,34367713,13153750
NA,Interfluve,,,34367721,13153882
NA,Side Slope,,,34367721,13153883
NA,Base Slope,,,34368449,13154223
NA,Interfluve,,,34368374,13153924
NA,Interfluve,,,34367723,13153886
NA,Side Slope,,,34367723,13153887
NA,Side Slope,,,34367730,13153912
NA,Side Slope,,,34367728,13153909
NA,Interfluve,,,34368372,13153920
NA,Crest,,,34368372,13153921
NA,Interfluve,,,34367715,13153745
NA,Side Slope,,,34367715,13153746
NA,Base Slope,,,34368455,13154228
NA,Base Slope,,,34368447,13154230
NA,Base Slope,,,34368453,13154226
NA,Base Slope,,,34367725,13153891
