shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Linear,34368451,20222472
Linear,Convex,34367713,20221809
Linear,Convex,34367721,20222219
Linear,Concave,34368449,20222471
Linear,Concave,34368374,20222041
Linear,Convex,34367723,20222220
Linear,Convex,34367730,20222253
Linear,Convex,34367728,20222252
Linear,Linear,34368372,20222040
Linear,Convex,34367715,20221810
Concave,Linear,34368455,20222474
Linear,Concave,34368447,20222470
Concave,Linear,34368453,20222473
Concave,Linear,34367725,20222251
