musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
11B,"Colo-Ely complex, 0 to 5 percent slopes",Complex,NA,27829,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,86,NA,NA,NA,NA,13720,410535
120,"Tama silty clay loam, 0 to 2 percent slopes",Consociation,NA,514,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,100,NA,NA,NA,NA,13720,410536
120B,"Tama silty clay loam, 2 to 5 percent slopes",Consociation,NA,26422,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,95,NA,NA,NA,NA,13720,410537
120C2,"Tama silty clay loam, 5 to 9 percent slopes, eroded",Consociation,NA,29176,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,,Order 2,87,NA,NA,NA,NA,13720,410539
120D2,"Tama silty clay loam, 9 to 14 percent slopes, eroded",Consociation,NA,7241,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,,Order 2,62,NA,NA,NA,NA,13720,410540
133,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Consociation,NA,5897,NA,NA,NA,NA,NA,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,NA,NA,NA,,Order 2,78,NA,NA,NA,NA,13720,410543
133+,"Colo silt loam, 0 to 2 percent slopes, occasionally flooded, overwash",Consociation,NA,7384,NA,NA,NA,NA,NA,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,NA,NA,NA,,Order 2,78,NA,NA,NA,NA,13720,410544
M162C2,"Downs silt loam, till plain, 5 to 9 percent slopes, eroded",Consociation,NA,5369,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,,Order 2,82,NA,NA,NA,NA,13720,410546
M162D2,"Downs silt loam, till plain, 9 to 14 percent slopes, eroded",Consociation,NA,5445,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,,Order 2,57,NA,NA,NA,NA,13720,410548
M163E2,"Fayette silt loam, till plain, 14 to 18 percent slopes, eroded",Consociation,NA,2265,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,,Order 2,36,NA,NA,NA,NA,13720,410552
