areaovacres,lareaovkey,mukey,muareaovkey
26028,500841,410535,29894721
26028,500842,410535,29894720
26028,500843,410535,29895285
26028,500844,410535,29894723
26028,500845,410535,29894722
514,500841,410536,29894349
514,500842,410536,29894348
514,500843,410536,29895192
514,500844,410536,29894351
514,500845,410536,29894350
26425,500841,410537,29894353
26425,500842,410537,29894352
26425,500843,410537,29895193
26425,500844,410537,29894355
26425,500845,410537,29894354
29194,500841,410539,29894361
29194,500842,410539,29894360
29194,500843,410539,29895195
29194,500844,410539,29894363
29194,500845,410539,29894362
7241,500841,410540,29894365
7241,500842,410540,29894364
7241,500843,410540,29895196
7241,500844,410540,29894367
7241,500845,410540,29894366
7197,500841,410543,29894369
7197,500842,410543,29894368
7197,500843,410543,29895197
7197,500844,410543,29894371
7197,500845,410543,29894370
7642,500841,410544,29894373
7642,500842,410544,29894372
7642,500843,410544,29895198
7642,500844,410544,29894375
7642,500845,410544,29894374
5369,500841,410546,29894709
5369,500842,410546,29894708
5369,500843,410546,29895282
5369,500844,410546,29894711
5369,500845,410546,29894710
5438,500841,410548,29894387
5438,500842,410548,29894386
5438,500843,410548,29894385
5438,500844,410548,29894384
5438,500845,410548,29895201
2268,500841,410552,29894393
2268,500842,410552,29894392
2268,500843,410552,29895203
2268,500844,410552,29894395
2268,500845,410552,29894394
813,500841,410555,29894401
813,500842,410555,29894400
813,500843,410555,29895205
813,500844,410555,29894403
813,500845,410555,29894402
15002,500841,410556,29894777
15002,500842,410556,29894776
15002,500843,410556,29895299
15002,500844,410556,29894779
15002,500845,410556,29894778
1799,500841,410557,29894405
1799,500842,410557,29894404
1799,500843,410557,29895206
1799,500844,410557,29894407
1799,500845,410557,29894406
5640,500841,410558,29894409
5640,500842,410558,29894408
5640,500843,410558,29895207
5640,500844,410558,29894411
5640,500845,410558,29894410
11239,500841,410560,29894417
11239,500842,410560,29894416
11239,500843,410560,29895209
11239,500844,410560,29894419
11239,500845,410560,29894418
6088,500841,410561,29894421
6088,500842,410561,29894420
6088,500843,410561,29895210
6088,500844,410561,29894423
6088,500845,410561,29894422
6033,500841,410562,29894425
6033,500842,410562,29894424
6033,500843,410562,29895211
6033,500844,410562,29894427
6033,500845,410562,29894426
8956,500841,410568,29894445
8956,500842,410568,29894444
8956,500843,410568,29895216
8956,500844,410568,29894447
8956,500845,410568,29894446
1461,500841,410589,29894509
1461,500842,410589,29894508
1461,500843,410589,29895232
1461,500844,410589,29894511
1461,500845,410589,29894510
308,500841,410590,29894513
308,500842,410590,29894512
308,500843,410590,29895233
308,500844,410590,29894515
308,500845,410590,29894514
6092,500841,410591,29894737
6092,500842,410591,29894736
6092,500843,410591,29895289
6092,500844,410591,29894739
6092,500845,410591,29894738
184,500841,410593,29894517
184,500842,410593,29894516
184,500843,410593,29895234
184,500844,410593,29894519
184,500845,410593,29894518
656,500841,410595,29894793
656,500842,410595,29894792
656,500843,410595,29895303
656,500844,410595,29894795
656,500845,410595,29894794
484,500841,410596,29894525
484,500842,410596,29894524
484,500843,410596,29895236
484,500844,410596,29894527
484,500845,410596,29894526
3032,500841,410597,29894529
3032,500842,410597,29894528
3032,500843,410597,29895237
3032,500844,410597,29894531
3032,500845,410597,29894530
1459,500841,410599,29894537
1459,500842,410599,29894536
1459,500843,410599,29895239
1459,500844,410599,29894539
1459,500845,410599,29894538
641,500841,410603,29894547
641,500842,410603,29894546
641,500843,410603,29894545
641,500844,410603,29894544
641,500845,410603,29895241
7968,500841,410626,29894609
7968,500842,410626,29894608
7968,500843,410626,29895257
7968,500844,410626,29894611
7968,500845,410626,29894610
1208,500841,410636,29894637
1208,500842,410636,29894636
1208,500843,410636,29895264
1208,500844,410636,29894639
1208,500845,410636,29894638
2318,500841,410639,29894749
2318,500842,410639,29894748
2318,500843,410639,29895292
2318,500844,410639,29894751
2318,500845,410639,29894750
431,500841,410640,29894647
431,500842,410640,29894646
431,500843,410640,29894645
431,500844,410640,29894644
431,500845,410640,29895266
9480,500841,410641,29894649
9480,500842,410641,29894648
9480,500843,410641,29895267
9480,500844,410641,29894651
9480,500845,410641,29894650
6310,500841,410643,29894653
6310,500842,410643,29894652
6310,500843,410643,29895268
6310,500844,410643,29894655
6310,500845,410643,29894654
1966,500841,410644,29894813
1966,500842,410644,29894812
1966,500843,410644,29895308
1966,500844,410644,29894815
1966,500845,410644,29894814
1191,500841,3051961,29894729
1191,500842,3051961,29894728
1191,500843,3051961,29895287
1191,500844,3051961,29894731
1191,500845,3051961,29894730
