"year","Month","Crops","value"
"2016","April","Asparagus",142.542
"2016","April","Cabbage",348.83
"2016","April","Cantaloupe",6.50399999999989
"2016","April","Carrot",348.83
"2016","April","Cauliflower",348.83
"2016","April","Cucumber",31.9169999999998
"2016","April","Eggplant",142.542
"2016","April","Lettuce",348.83
"2016","April","Onion",348.83
"2016","April","Peas",374.83
"2016","April","Potato",575.378999999999
"2016","April","Pumpkin",31.9169999999998
"2016","April","Radish",348.83
"2016","April","Spinach",487.064999999999
"2016","April","Squash",31.9169999999998
"2016","April","Sweet_corn",142.542
"2016","April","Sweet_Potato",6.50399999999989
"2016","April","Tomato",142.542
"2016","April","Watermelon",142.542
"2016","August","Asparagus",716.742
"2016","August","Cabbage",1026.742
"2016","August","Cantaloupe",252.486
"2016","August","Carrot",1026.742
"2016","August","Cauliflower",1026.742
"2016","August","Cucumber",406.742
"2016","August","Eggplant",716.742
"2016","August","Lettuce",1026.742
"2016","August","Onion",1026.742
"2016","August","Peas",1057.742
"2016","August","Potato",1274.742
"2016","August","Pumpkin",406.742
"2016","August","Radish",1026.742
"2016","August","Spinach",1181.742
"2016","August","Squash",406.742
"2016","August","Sweet_corn",716.742
"2016","August","Sweet_Potato",252.486
"2016","August","Tomato",716.742
"2016","August","Watermelon",716.742
"2016","July","Asparagus",727.803
"2016","July","Cabbage",1037.803
"2016","July","Cantaloupe",266.304
"2016","July","Carrot",1037.803
"2016","July","Cauliflower",1037.803
"2016","July","Cucumber",417.803
"2016","July","Eggplant",727.803
"2016","July","Lettuce",1037.803
"2016","July","Onion",1037.803
"2016","July","Peas",1068.803
"2016","July","Potato",1285.803
"2016","July","Pumpkin",417.803
"2016","July","Radish",1037.803
"2016","July","Spinach",1192.803
"2016","July","Squash",417.803
"2016","July","Sweet_corn",727.803
"2016","July","Sweet_Potato",266.304
"2016","July","Tomato",727.803
"2016","July","Watermelon",727.803
"2016","June","Asparagus",715.797
"2016","June","Cabbage",1015.797
"2016","June","Cantaloupe",266.91
"2016","June","Carrot",1015.797
"2016","June","Cauliflower",1015.797
"2016","June","Cucumber",415.797
"2016","June","Eggplant",715.797
"2016","June","Lettuce",1015.797
"2016","June","Onion",1015.797
"2016","June","Peas",1045.797
"2016","June","Potato",1255.797
"2016","June","Pumpkin",415.797
"2016","June","Radish",1015.797
"2016","June","Spinach",1165.797
"2016","June","Squash",415.797
"2016","June","Sweet_corn",715.797
"2016","June","Sweet_Potato",266.91
"2016","June","Tomato",715.797
"2016","June","Watermelon",715.797
"2016","May","Asparagus",347.616
"2016","May","Cabbage",650.605
"2016","May","Cantaloupe",55.4189999999998
"2016","May","Carrot",650.605
"2016","May","Cauliflower",650.605
"2016","May","Cucumber",121.384
"2016","May","Eggplant",347.616
"2016","May","Lettuce",650.605
"2016","May","Onion",650.605
"2016","May","Peas",681.605
"2016","May","Potato",898.605
"2016","May","Pumpkin",121.384
"2016","May","Radish",650.605
"2016","May","Spinach",805.605
"2016","May","Squash",121.384
"2016","May","Sweet_corn",347.616
"2016","May","Sweet_Potato",55.4189999999998
"2016","May","Tomato",347.616
"2016","May","Watermelon",347.616
"2016","October","Asparagus",251.982
"2016","October","Cabbage",541.821999999999
"2016","October","Cantaloupe",22.2689999999999
"2016","October","Carrot",541.821999999999
"2016","October","Cauliflower",541.821999999999
"2016","October","Cucumber",70.0249999999999
"2016","October","Eggplant",251.982
"2016","October","Lettuce",541.821999999999
"2016","October","Onion",541.821999999999
"2016","October","Peas",572.822
"2016","October","Potato",789.822
"2016","October","Pumpkin",70.0249999999999
"2016","October","Radish",541.821999999999
"2016","October","Spinach",696.822
"2016","October","Squash",70.0249999999999
"2016","October","Sweet_corn",251.982
"2016","October","Sweet_Potato",22.2689999999999
