rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,,NA,NA,,,,Yes,65224142,7560074
Friable,,NA,NA,,,,Yes,65224138,7560077
Friable,,NA,NA,,,,Yes,65224132,7560061
Friable,,NA,NA,,,,Yes,65222886,7559423
Friable,,NA,NA,Deformable,,,Yes,65224154,7560084
Friable,,NA,NA,,,,Yes,65222877,7559321
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224966,7559326
Friable,,NA,NA,Deformable,,,Yes,65224164,7560094
Friable,,NA,NA,,,,Yes,65221865,7559713
Friable,,NA,NA,,,,Yes,65224106,7560046
Friable,,NA,NA,,,,Yes,65222772,7559892
Friable,,NA,NA,Deformable,,,Yes,65224153,7560083
Friable,,NA,NA,,,,Yes,65224127,7560065
Friable,,NA,NA,,,,Yes,65221861,7559709
Friable,,NA,NA,,,,Yes,65222771,7559886
Friable,,NA,NA,Deformable,Nonsticky,Nonplastic,Yes,65224971,7559331
Friable,,NA,NA,,,,Yes,65222876,7559319
Friable,,NA,NA,,,,Yes,65224117,7560051
Firm,,NA,NA,,,,Yes,65219616,7559454
Friable,,NA,NA,,,,Yes,65224105,7560036
Friable,,NA,NA,,,,Yes,65224143,7560075
Friable,,NA,NA,,,,Yes,65221821,7559703
Friable,,NA,NA,Semideformable,,,Yes,65223742,7560015
Friable,,NA,NA,,,,Yes,65224116,7560050
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224967,7559327
Friable,,NA,NA,,,,Yes,65222773,7559890
Friable,,NA,NA,,,,Yes,65219635,7559462
Friable,,NA,NA,,,,Yes,65224120,7560054
Friable,,NA,NA,,,,Yes,65224139,7560071
Friable,,NA,NA,,,,Yes,65222749,7559904
Friable,,NA,NA,Semideformable,,,Yes,65223754,7560033
Firm,,NA,NA,,,,Yes,65224128,7560066
Friable,,NA,NA,Deformable,Nonsticky,Nonplastic,Yes,65224970,7559330
Friable,,NA,NA,,,,Yes,65224131,7560060
Friable,,NA,NA,,,,Yes,65221824,7559704
Friable,,NA,NA,,,,Yes,65221820,7559702
Friable,,NA,NA,Semideformable,,,Yes,65223743,7560016
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224963,7559323
Friable,,NA,NA,,,,Yes,65224135,7560063
Friable,,NA,NA,,,,Yes,65222875,7559320
Friable,,NA,NA,,,,Yes,65221862,7559710
Friable,,NA,NA,,,,Yes,65222823,7559930
Friable,,NA,NA,Deformable,,,Yes,65224157,7560087
Friable,,NA,NA,,,,Yes,65222801,7559928
Friable,,NA,NA,,,,Yes,65221825,7559707
Firm,,NA,NA,,,,Yes,65219625,7559459
Firm,,NA,NA,,,,Yes,65219636,7559464
Friable,,NA,NA,,,,Yes,65222751,7559900
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224985,7560127
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224989,7560128
Friable,,NA,NA,,,,Yes,65224109,7560042
Friable,,NA,NA,Deformable,,,Yes,65224151,7560081
Firm,,NA,NA,,,,Yes,65219626,7559458
Friable,,NA,NA,,,,Yes,65222795,7559914
Friable,,NA,NA,,,,Yes,65224119,7560053
Friable,,NA,NA,,,,Yes,65219615,7559451
Friable,,NA,NA,,,,Yes,65224140,7560072
Friable,,NA,NA,,,,Yes,65224141,7560073
Friable,,NA,NA,Deformable,,,Yes,65224161,7560091
Friable,,NA,NA,,,,Yes,65224129,7560067
Friable,,NA,NA,,,,Yes,65222768,7559896
Friable,,NA,NA,,,,Yes,65222747,7559902
Firm,,NA,NA,,,,Yes,65219637,7559465
Firm,,NA,NA,,,,Yes,65224130,7560068
Friable,,NA,NA,,,,Yes,65224118,7560052
Friable,,NA,NA,Semideformable,,,Yes,65223744,7560017
Friable,,NA,NA,,,,Yes,65221860,7559708
Friable,,NA,NA,,,,Yes,65222769,7559888
Friable,,NA,NA,,,,Yes,65224108,7560048
Firm,,NA,NA,,,,Yes,65219619,7559453
Friable,,NA,NA,Deformable,,,Yes,65224150,7560080
Friable,,NA,NA,Semideformable,,,Yes,65223755,7560034
Friable,,NA,NA,,,,Yes,65219644,7559468
Friable,,NA,NA,,,,Yes,65219623,7559455
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224962,7559322
Firm,,NA,NA,,,,Yes,65219634,7559466
Friable,,NA,NA,Deformable,,,Yes,65224160,7560090
Friable,,NA,NA,,,,Yes,65224110,7560059
Firm,,NA,NA,,,,Yes,65219622,7559460
Friable,,NA,NA,,,,Yes,65222820,7559932
Friable,,NA,NA,,,,Yes,65222794,7559918
Friable,,NA,NA,,,,Yes,65222798,7559916
Friable,,NA,NA,,,,Yes,65222883,7559420
Firm,,NA,NA,,,,Yes,65219586,7559448
Friable,,NA,NA,,,,Yes,65219633,7559463
Friable,,NA,NA,,,,Yes,65222750,7559905
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224986,7560126
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224964,7559324
Friable,,NA,NA,,,,Yes,65219585,7559445
Friable,,NA,NA,Deformable,,,Yes,65224162,7560092
Friable,,NA,NA,Semideformable,,,Yes,65223748,7560020
Friable,,NA,NA,Deformable,,,Yes,65224149,7560079
Friable,,NA,NA,,,,Yes,65219638,7559461
Friable,,NA,NA,,,,Yes,65224121,7560055
Friable,,NA,NA,,,,Yes,65222819,7559934
Friable,,NA,NA,,,,Yes,65219618,7559450
Friable,,NA,NA,Deformable,,,Yes,65224163,7560093
Friable,,NA,NA,,,,Yes,65219590,7559443
Firm,,NA,NA,,,,Yes,65219640,7559472
Friable,,NA,NA,,,,Yes,65222746,7559899
Friable,,NA,NA,Deformable,,,Yes,65224148,7560078
Friable,,NA,NA,,,,Yes,65221826,7559701
Friable,,NA,NA,,,,Yes,65221863,7559711
