desgnsuffix,chkey,chdesgnsfxkey
g,65224142,27042697
t,65221828,27042362
g,65224966,27045158
p,65219237,27042322
p,65222824,27044092
g,65224164,27042709
t,65221865,27042366
p,65224992,27045172
g,65222887,27044437
t,65222887,27044438
p,65222772,27042372
g,65224153,27042702
g,65224127,27042689
p,65223751,27044428
t,65221732,27044512
g,65224117,27043765
p,65221721,27044530
g,65224143,27042698
t,65221821,27042357
p,65224116,27043764
w,65224146,27042712
t,65221725,27044532
t,65222825,27044084
t,65222749,27042378
p,65224970,27045160
p,65224131,27042686
g,65221857,27043334
p,65221824,27042358
t,65219229,27042321
p,65223743,27042367
p,65224963,27045155
g,65224135,27042688
w,65222875,27044108
g,65224124,27042693
t,65221862,27042363
g,65224157,27042705
p,65222878,27044109
b,65224113,27043761
t,65219636,27041884
p,65224985,27045168
g,65224989,27045169
g,65224109,27043757
g,65224151,27042701
t,65219626,27041882
g,65224119,27043767
p,65224140,27042695
g,65224141,27042696
p,65224129,27042690
t,65222768,27042374
p,65222747,27042377
t,65221722,27044531
g,65224130,27042691
g,65224118,27043766
g,65223744,27042368
t,65222879,27044110
k,65222827,27044088
t,65222827,27044090
g,65224150,27042700
g,65221858,27043335
p,65219623,27041881
p,65222794,27042384
t,65222750,27042379
g,65224964,27045156
p,65224162,27042707
p,65219638,27041883
p,65221859,27043333
p,65222819,27044078
g,65224163,27042708
p,65219590,27041877
p,65224122,27042692
t,65219239,27042323
p,65224148,27042699
p,65221863,27042364
g,65224965,27045157
b,65224972,27045161
g,65224991,27045170
g,65223745,27042369
p,65222799,27042390
g,65224107,27043759
p,65222882,27044433
t,65219641,27041886
p,65224111,27043769
p,65219620,27041879
g,65222880,27044431
t,65222880,27044432
t,65222821,27044082
k,65221730,27044517
t,65221730,27044518
t,65222797,27042388
p,65221830,27042361
p,65224144,27042711
p,65224114,27043763
p,65223749,27044430
p,65219227,27042320
p,65224155,27042703
t,65221864,27042365
w,65222885,27044434
g,65224990,27045171
t,65222889,27044436
g,65224103,27043755
g,65223750,27044429
t,65222774,27042376
p,65222873,27044107
t,65221853,27043332
t,65219617,27041880
t,65221729,27044516
t,65222800,27042392
b,65224969,27045159
k,65222826,27044086
g,65224156,27042704
g,65223746,27042370
t,65221822,27042360
t,65222796,27042386
g,65224158,27042706
t,65221823,27042359
g,65224136,27042694
t,65219587,27041878
t,65222822,27044080
g,65224165,27042710
p,65222888,27044435
p,65221854,27043331
p,65219643,27041885
g,65224134,27042687
