texcl,lieutex,chtgkey,chtkey
Clay,,131445863,133703904
Silty clay loam,,131454386,133710138
Clay loam,,131456523,133712504
Silty clay,,131452309,133708548
Silt loam,,131452150,133711233
Silt loam,,131446104,133704151
Loam,,131455043,133712381
Silt loam,,131450060,133704738
Silt loam,,131454407,133714130
Silt loam,,131455022,133712371
Clay loam,,131446336,133706693
Silty clay loam,,131452161,133710130
Clay loam,,131445734,133703552
Clay loam,,131455074,133713539
Loam,,131445937,133703724
Silty clay loam,,131445776,133704039
Silt loam,,131445850,133703712
Loam,,131446214,133707113
Silt loam,,131452103,133705525
Silty clay loam,,131455032,133713783
Silt loam,,131446115,133703997
Clay loam,,131455033,133714099
Silt loam,,131455085,133713793
Silty clay,,131445861,133703903
Clay loam,,131445953,133703919
Clay,,131446288,133706941
Silty clay loam,,131452062,133711137
Clay,,131445948,133703652
Silt loam,,131446148,133704161
Silty clay loam,,131454399,133712841
Clay loam,,131446310,133707125
Silty clay loam,,131455106,133714120
Silt loam,,131452187,133711772
Silt loam,,131455064,133712383
Silt loam,,131456560,133703758
Silt loam,,131456578,133704090
Silty clay,,131445723,133703876
Clay,,131450071,133704723
Silty clay loam,,131450284,133705284
Silt loam,,131452162,133711238
Clay loam,,131445942,133703177
Loam,,131445942,133705834
Clay loam,,131445870,133705725
Sandy loam,,131446089,133708376
Silty clay loam,,131452066,133711747
Silty clay loam,,131455084,133713541
Clay,,131452320,133707089
Clay loam,,131446295,133706692
Silt loam,,131450217,133704302
Silt loam,,131450230,133707279
Silt loam,,131455107,133714121
Loam,,131446277,133707121
Loam,,131445952,133704073
Silt loam,,131446137,133703821
Silty clay loam,,131455095,133713544
Silty clay loam,,131446332,133706947
Clay loam,,131446321,133708865
Silty clay loam,,131446314,133706629
Silty clay loam,,131456567,133703594
Silty clay loam,,131452109,133707660
Silt loam,,131452302,133706538
Silty clay loam,,131455011,133713521
Silty clay loam,,131445852,133703901
Silty clay,,131445767,133703692
Silty clay loam,,131452188,133711774
Silty clay loam,,131450062,133705162
Silt loam,,131455105,133714119
Silty clay loam,,131452151,133711234
Silty clay loam,,131450228,133704600
Silty clay loam,,131445778,133703559
Clay loam,,131450269,133704604
Clay,,131446266,133708854
Silt loam,,131456519,133714264
Silt loam,,131455023,133712366
Clay loam,,131446303,133706944
Silt loam,,131446100,133704179
Silty clay loam,,131450280,133704608
Silt loam,,131455096,133713796
Silt loam,,131455012,133714097
Clay loam,,131452202,133711163
Silty clay loam,,131445662,133703673
Clay loam,,131445938,133703723
Silty clay loam,,131452099,133705526
Silty clay loam,,131452313,133708385
Clay loam,,131446085,133707076
Silty clay loam,,131452069,133710112
Silty clay loam,,131455104,133713546
Silty clay,,131455052,133714106
Silt loam,,131455034,133714100
Silty clay loam,,131446122,133704183
Silty clay loam,,131450288,133704305
Silty clay loam,,131445777,133703882
Silt loam,,131445781,133703975
Silty clay loam,,131454389,133710141
Silt loam,,131450287,133704304
Silty clay loam,,131446263,133708853
Silty clay loam,,131445655,133703789
Silt loam,,131452197,133711156
Silt loam,,131450227,133705283
Silty clay loam,,131452185,133711244
Silty clay loam,,131455014,133711893
Silty clay loam,,131456531,133712506
Silty clay loam,,131452184,133711769
Loam,,131445940,133703725
Silty clay loam,,131455103,133713798
Clay loam,,131450068,133704411
Clay loam,,131445718,133707710
Silt loam,,131452070,133710113
Silty clay loam,,131452186,133711160
Silt loam,,131452101,133704405
Clay,,131452310,133707085
Clay,,131445729,133704030
Silty clay loam,,131452194,133711242
Clay loam,,131446276,133707120
Clay loam,,131445862,133704058
Silty clay loam,,131446309,133708860
Silty clay loam,,131455051,133713534
Silt loam,,131450277,133705289
Clay loam,,131446224,133705053
Silt loam,,131452299,133706536
Silt loam,,131452059,133709975
Clay loam,,131446287,133708858
Silty clay loam,,131445851,133703713
Silty clay loam,,131452102,133704407
Clay loam,,131450065,133704274
Silty clay loam,,131455040,133713787
Silty clay loam,,131450276,133707285
Silty clay loam,,131452321,133706543
Silty clay loam,,131445670,133704124
Clay loam,,131446298,133704209
Silty clay loam,,131446108,133704615
Silty clay loam,,131455063,133713532
Clay loam,,131450072,133704579
Clay loam,,131445949,133703651
Silt loam,,131452154,133711150
Silt loam,,131455010,133714096
Silty clay loam,,131455013,133713526
Clay loam,,131446226,133704200
Silty clay loam,,131446147,133704192
Silty clay loam,,131452106,133704402
Clay loam,,131446284,133706939
Silty clay loam,,131452198,133711153
Silt loam,,131454398,133714132
Silty clay loam,,131454398,133714133
Silty clay loam,,131445673,133703645
Silt loam,,131452095,133711219
Clay loam,,131446111,133704180
Clay loam,,131446210,133706623
Silt loam,,131456530,133712604
Silty clay loam,,131455021,133712369
Silt loam,,131456571,133704088
Silty clay loam,,131452058,133710115
Silt loam,,131454388,133710140
Silty clay loam,,131452298,133708383
Silty clay loam,,131445660,133703671
Silty clay loam,,131446215,133707114
Silty clay loam,,131452191,133711765
Clay loam,,131446258,133704641
Loam,,131445941,133703915
Clay loam,,131454387,133710139
Clay,,131446325,133707131
Silt loam,,131450219,133705282
Silty clay loam,,131455076,133713540
Silty clay loam,,131452158,133710124
Silt loam,,131455041,133713536
Silty clay loam,,131455054,133714108
Silt loam,,131450229,133704601
Loam,,131446299,133705062
Silty clay loam,,131455065,133712384
Clay loam,,131450273,133704606
Silty clay,,131445724,133704032
Silty clay loam,,131446141,133704159
Clay loam,,131446211,133708850
Loam,,131445934,133703913
Silt loam,,131452110,133711742
Clay loam,,131445956,133703728
Silt loam,,131455087,133713794
Silt loam,,131452147,133711757
Loam,,131446262,133706935
Silt loam,,131446221,133707111
Silty clay loam,,131454408,133714131
Silty clay loam,,131445671,133703966
Loam,,131446225,133704201
Silty clay,,131452324,133708388
Clay,,131445725,133703877
Sandy loam,,131454397,133712843
Loam,,131454397,133712844
Clay loam,,131445726,133703683
Loam,,131446273,133708852
Silt loam,,131455030,133713782
Silt loam,,131445787,133703886
Silty clay loam,,131454404,133710799
Silt loam,,131454404,133710800
Silt loam,,131446274,133706934
Silty clay loam,,131446107,133704152
Silty clay loam,,131446326,133708862
Silt loam,,131450223,133704598
Clay loam,,131445960,133703976
Silty clay loam,,131455114,133712393
Silty clay loam,,131456533,133714266
Loam,,131445951,133703918
Clay,,131452323,133708551
Silt loam,,131455062,133713784
Silty clay loam,,131456520,133712601
Silty clay loam,,131445847,133703900
Silt loam,,131450061,133704735
Silty clay loam,,131455036,133714102
Silty clay loam,,131450220,133705281
Silty clay loam,,131455025,133711898
Clay loam,,131446256,133703178
Loam,,131446256,133705835
Clay loam,,131445950,133703653
Silty clay loam,,131445766,133703691
Silt loam,,131445659,133703965
Loam,,131446337,133707269
Silty clay loam,,131452312,133708549
Clay loam,,131445939,133703726
Silty clay loam,,131446118,133703818
Loam,,131446285,133708856
Silt loam,,131446329,133706634
Silty clay loam,,131455055,133714104
Silty clay loam,,131454390,133711250
Silt loam,,131446139,133703823
Clay loam,,131455110,133713799
Clay loam,,131446306,133706946
Silty clay loam,,131455092,133714118
Silty clay loam,,131445769,133703881
Silty clay loam,,131452300,133708546
Clay loam,,131445733,133703551
Loam,,131450064,133704726
Silt loam,,131445854,133703902
Silt loam,,131446317,133706942
Clay loam,,131455099,133712391
Clay loam,,131445858,133706113
Silt loam,,131446110,133704181
Silty clay loam,,131445770,133703561
Clay loam,,131446213,133707112
Silty clay loam,,131456522,133712602
Silt loam,,131454400,133714134
Clay,,131445722,133703554
Clay,,131445959,133704075
Silt loam,,131446099,133704177
Sandy clay loam,,131446086,133707077
Silty clay loam,,131452153,133711236
Loam,,131445931,133703584
Silt loam,,131450231,133707280
Clay loam,,131446318,133708864
Silt loam,,131455081,133713801
Loam,,131446223,133704633
Loam,,131450069,133704580
Silty clay loam,,131456564,133703595
Clay loam,,131446327,133706632
Silty clay loam,,131455073,133713791
Silt loam,,131454401,133712753
Silty clay loam,,131454401,133712754
Silty clay loam,,131455044,133712377
Silt loam,,131445780,133704132
Silty clay loam,,131450278,133707286
Silt loam,,131452100,133704990
Silty clay loam,,131445784,133703694
Silty clay loam,,131450053,133704736
Silty clay loam,,131452092,133711221
Silty clay loam,,131452311,133707088
Silty clay loam,,131446286,133707119
Silt loam,,131446106,133703746
Clay loam,,131446265,133706936
Silt loam,,131446119,133703817
Silt loam,,131445674,133703646
Loam,,131446222,133705052
Silt loam,,131452072,133711136
Silty clay loam,,131445848,133703710
Silt loam,,131445663,133704021
Loam,,131454396,133710804
Silty clay loam,,131456574,133703929
Silty clay loam,,131455077,133712394
Silt loam,,131452061,133711224
Silt loam,,131456563,133703757
Clay loam,,131445785,133703885
Silt loam,,131452195,133711158
Silt loam,,131450054,133704416
Silt loam,,131450285,133707282
Loam,,131446328,133706633
Silty clay loam,,131455029,133713529
Silty clay loam,,131455088,133714114
Silty clay loam,,131446138,133703822
Silt loam,,131446140,133704621
Silty clay loam,,131450216,133704301
Silty clay loam,,131446117,133704617
Silty clay loam,,131452196,133711767
Silty clay loam,,131452155,133711753
Silty clay loam,,131454385,133711165
Silty clay loam,,131455066,133712385
Silt loam,,131452301,133708382
Clay loam,,131445859,133705722
Silty clay loam,,131445774,133703884
Silt loam,,131456573,133704089
Loam,,131450274,133704607
Clay loam,,131446307,133708859
Silty clay loam,,131455018,133713780
Clay,,131446212,133706620
Loam,,131446296,133707268
Loam,,131446255,133704640
Silty clay loam,,131456575,133703759
Clay loam,,131446088,133708540
Loam,,131445869,133705724
Silty clay loam,,131452064,133711746
Silty clay loam,,131455061,133713531
Silt loam,,131446143,133704160
Clay loam,,131445945,133704072
Clay loam,,131446289,133708857
Silty clay loam,,131455109,133713547
Clay loam,,131446335,133706264
Silty clay loam,,131454402,133712842
Clay,,131446311,133707126
Silt loam,,131455056,133713537
Silty clay loam,,131452149,133711147
Loam,,131446208,133708849
Silty clay loam,,131455035,133714101
Clay,,131452308,133707087
Silty clay loam,,131456516,133714261
Silty clay loam,,131455093,133713543
Clay loam,,131445716,133705828
Clay,,131446322,133707129
Clay loam,,131446219,133708848
Silt loam,,131446103,133703995
Clay loam,,131445935,133704070
Silty clay loam,,131445768,133704038
Clay loam,,131450070,133704994
Silty clay loam,,131452054,133711139
Clay,,131446313,133708861
Silt loam,,131450282,133704603
Silt loam,,131456570,133703593
Silty clay loam,,131455098,133712390
Silt loam,,131452199,133711241
Loam,,131450063,133705154
Silty clay loam,,131445849,133703711
Silty clay loam,,131445665,133703862
Silt loam,,131450052,133705161
Silty clay loam,,131452148,133711759
Clay loam,,131450271,133705287
Silty clay loam,,131455009,133713779
Clay loam,,131446300,133703325
Loam,,131446300,133707714
Silty clay loam,,131452297,133708381
Silty clay loam,,131446145,133704190
Silty clay loam,,131445771,133703562
Clay loam,,131445958,133703730
Clay loam,,131445932,133703649
Silty clay loam,,131454381,133711777
Silt loam,,131455069,133714110
Silty clay loam,,131455080,133713550
Silty clay loam,,131446116,133704155
Silt loam,,131452057,133711140
Loam,,131446297,133704642
Clay loam,,131446323,133707128
Silt loam,,131450215,133704300
Silty clay loam,,131445721,133703553
Loam,,131450279,133704308
Silty clay loam,,131445666,133704019
Silty clay loam,,131445667,133703863
Loam,,131446334,133706263
Silty clay loam,,131456565,133703596
Silty clay,,131452322,133708387
Silt loam,,131456528,133712603
Silt loam,,131455090,133714116
Loam,,131446301,133704211
Silty clay loam,,131445656,133703790
Silty clay loam,,131450289,133704306
Silty clay loam,,131454394,133714136
Silt loam,,131455111,133713548
Clay loam,,131446264,133706625
Silty clay loam,,131454405,133710801
Silt loam,,131445668,133704020
Clay loam,,131452200,133710136
Silty clay loam,,131455027,133712367
Clay loam,,131446275,133706933
Silty clay loam,,131450058,133704737
Silt loam,,131450226,133707276
Silty clay loam,,131455038,133714109
Silty clay loam,,131445657,133703791
Clay loam,,131445857,133707711
Silt loam,,131455058,133713789
Clay loam,,131446216,133706621
Silty clay loam,,131455049,133713533
Silty clay loam,,131455046,133712379
Loam,,131446269,133707116
Silt loam,,131446102,133704150
Clay loam,,131446261,133707118
Silty clay loam,,131455082,133712387
Clay loam,,131445860,133705723
Silty clay loam,,131455072,133714113
Silt loam,,131456517,133714262
Silty clay loam,,131452055,133711226
Silt loam,,131446113,133703816
Silty clay loam,,131450218,133707278
Silty clay loam,,131450281,133704602
Silt loam,,131445779,133703560
Silt loam,,131455083,133712388
Silty clay,,131455045,133712378
Clay loam,,131445664,133703864
Silt loam,,131455071,133714112
Silty clay loam,,131450225,133705280
Silty clay loam,,131452159,133710126
Silt loam,,131452065,133711748
Silty clay loam,,131445731,133704031
Clay loam,,131446324,133707130
Clay loam,,131456568,133703927
Clay,,131446217,133706622
Silty clay loam,,131450292,133707283
Silty clay loam,,131454391,133711166
Silty clay loam,,131455108,133714122
Clay loam,,131445720,133705827
