wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,6,NA,ABCO,Abies concolor,white fir,22087287,115703214
NA,10,NA,ACSA2,Acer saccharinum,silver maple,22087287,115703440
NA,8,NA,ACSA3,Acer saccharum,sugar maple,22087287,115703712
NA,3,NA,AMELA,Amelanchier,serviceberry,22087287,115703828
NA,9,NA,ASTR,Asimina triloba,common pawpaw,22087287,115704042
NA,11,NA,BENI,Betula nigra,river birch,22087287,115704258
NA,8,NA,CAOV2,Carya ovata,shagbark hickory,22087287,115704519
NA,5,NA,CECA4,Cercis canadensis,eastern redbud,22087287,115704714
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,22087287,115705041
NA,2,NA,CEPHA,Cephalanthus,buttonbush,22087287,115705367
NA,2,NA,COAM2,Cornus amomum,silky dogwood,22087287,115705643
NA,3,NA,COCO6,Corylus cornuta,beaked hazelnut,22087287,115705988
NA,2,NA,COFOR,Cornus foemina ssp. racemosa,gray dogwood,22087287,115706299
NA,4,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,22087287,115706702
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,22087287,115706927
NA,8,NA,FRAM2,Fraxinus americana,white ash,22087287,115707368
NA,8,NA,FRNI,Fraxinus nigra,black ash,22087287,115707567
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,22087287,115707888
NA,6,NA,JUCI,Juglans cinerea,Butternut,22087287,115708184
NA,10,NA,JUNI,Juglans nigra,black walnut,22087287,115708271
NA,8,NA,JUVI,Juniperus virginiana,eastern redcedar,22087287,115708501
NA,6,NA,MALUS,Malus,Red Splendor Crabapple,22087287,115708927
NA,6,NA,MALUS,Malus,Midwest Crabapple,22087287,115709026
NA,6,NA,MAMA37,Malus mandshurica,Manchurian crabapple,22087287,115709296
NA,6,NA,MASA9,Malus sargentii,sargent crabapple,22087287,115709559
NA,3,NA,PHYSO,Physocarpus,ninebark,22087287,115709877
NA,9,NA,PIAB,Picea abies,Norway spruce,22087287,115710096
NA,6,NA,PIBA2,Pinus banksiana,jack pine,22087287,115710298
NA,6,NA,PIGL,Picea glauca,white spruce,22087287,115710456
NA,6,NA,PIGLD,Picea glauca var. densata,Black Hills spruce,22087287,115710694
NA,12,NA,PIST,Pinus strobus,eastern white pine,22087287,115710888
NA,15,NA,PODE3,Populus deltoides,eastern cottonwood,22087287,115711341
NA,4,NA,PRAM,Prunus americana,American plum,22087287,115711650
NA,6,NA,PRSE2,Prunus serotina,black cherry,22087287,115711845
NA,3,NA,PRTO80,Prunus tomentosa,Nanking cherry,22087287,115712076
NA,3,NA,PRVI,Prunus virginiana,chokecherry,22087287,115712313
NA,6,NA,QUAL,Quercus alba,white oak,22087287,115712545
NA,11,NA,QUBI,Quercus bicolor,swamp white oak,22087287,115712773
NA,6,NA,QUMA2,Quercus macrocarpa,bur oak,22087287,115713142
NA,10,NA,QUMU,Quercus muehlenbergii,chinkapin oak,22087287,115713400
NA,10,NA,QURU,Quercus rubra,northern red oak,22087287,115713785
NA,10,NA,QUVE,Quercus velutina,black oak,22087287,115713959
NA,4,NA,SAMBU,Sambucus,elderberry,22087287,115714514
NA,6,NA,THOC2,Thuja occidentalis,arborvitae,22087287,115714841
NA,10,NA,TIAM,Tilia americana,American basswood,22087287,115715057
NA,6,NA,UNKNOWN,unknown scientific name,radiant crabapple,22087287,115715257
NA,1,NA,VIAC,Viburnum acerifolium,mapleleaf viburnum,22087287,115715495
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,22087287,115715732
NA,3,NA,VIED,Viburnum edule,highbush cranberrry,22087287,115715980
NA,3,NA,VILE,Viburnum lentago,nannyberry,22087287,115716268
NA,5,NA,VIPR,Viburnum prunifolium,blackhaw,22087287,115716580
NA,3,NA,VIRA,Viburnum rafinesqueanum,Downy Arrowwood,22087287,115716745
NA,6,NA,ABCO,Abies concolor,white fir,22087288,115703215
NA,10,NA,ACSA2,Acer saccharinum,silver maple,22087288,115703441
NA,8,NA,ACSA3,Acer saccharum,sugar maple,22087288,115703704
NA,3,NA,AMELA,Amelanchier,serviceberry,22087288,115703829
NA,11,NA,BENI,Betula nigra,river birch,22087288,115704259
NA,8,NA,CAOV2,Carya ovata,shagbark hickory,22087288,115704520
NA,5,NA,CECA4,Cercis canadensis,eastern redbud,22087288,115704715
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,22087288,115705042
NA,2,NA,CEPHA,Cephalanthus,buttonbush,22087288,115705368
NA,2,NA,COAM2,Cornus amomum,silky dogwood,22087288,115705644
NA,3,NA,COCO6,Corylus cornuta,beaked hazelnut,22087288,115705989
NA,2,NA,COFOR,Cornus foemina ssp. racemosa,gray dogwood,22087288,115706300
NA,4,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,22087288,115706703
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,22087288,115706928
NA,8,NA,FRAM2,Fraxinus americana,white ash,22087288,115707369
NA,8,NA,FRNI,Fraxinus nigra,black ash,22087288,115707568
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,22087288,115707889
NA,10,NA,JUNI,Juglans nigra,black walnut,22087288,115708272
NA,8,NA,JUVI,Juniperus virginiana,eastern redcedar,22087288,115708502
NA,6,NA,MALUS,Malus,Red Splendor Crabapple,22087288,115708928
NA,6,NA,MALUS,Malus,Midwest Crabapple,22087288,115709027
NA,6,NA,MAMA37,Malus mandshurica,Manchurian crabapple,22087288,115709297
NA,6,NA,MASA9,Malus sargentii,sargent crabapple,22087288,115709560
NA,3,NA,PHYSO,Physocarpus,ninebark,22087288,115709878
NA,9,NA,PIAB,Picea abies,Norway spruce,22087288,115710097
