soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,203,203,203,Moist,231252916,145274656
NA,0,NA,NA,203,NA,Moist,231251977,145273463
0,0,0,30,30,61,Moist,231268490,145299912
30,30,61,200,200,200,Wet,231268490,145299913
NA,0,NA,NA,46,NA,Moist,231253156,145274952
NA,76,NA,NA,203,NA,Moist,231253156,145274954
46,46,61,76,76,76,Wet,231253156,145274953
0,0,0,203,203,203,Moist,231251787,145273140
0,0,0,30,30,61,Moist,231266133,145295885
30,30,61,200,200,200,Wet,231266133,145295884
NA,76,NA,NA,203,NA,Moist,231259479,145283485
NA,0,NA,NA,46,NA,Moist,231259479,145283486
46,46,61,76,76,76,Wet,231259479,145283484
0,0,0,61,92,122,,231251816,145273178
61,92,122,183,183,183,Wet,231251816,145273179
0,0,0,122,122,198,Moist,231259785,145283900
122,122,198,203,203,203,Wet,231259785,145283901
0,0,0,0,0,30,Moist,231266146,145295911
0,0,30,200,200,200,Wet,231266146,145295910
0,0,0,91,91,122,Moist,231265029,145293909
91,91,122,200,200,200,Wet,231265029,145293908
0,0,0,76,76,152,Moist,231262349,145288905
76,76,152,200,200,200,Wet,231262349,145288904
NA,0,NA,NA,46,NA,Moist,231253317,145275137
NA,76,NA,NA,203,NA,Moist,231253317,145275139
46,46,61,76,76,76,Wet,231253317,145275138
0,0,0,30,30,61,Moist,231266094,145295819
30,30,61,200,200,200,Wet,231266094,145295818
0,0,0,200,200,200,Moist,231259467,145283472
0,0,0,15,15,61,Moist,231268489,145299910
15,15,61,200,200,200,Wet,231268489,145299911
NA,NA,NA,183,183,183,,231251956,145273419
0,0,0,30,61,91,,231251956,145273420
30,61,91,NA,NA,NA,Wet,231251956,145273421
0,0,0,137,137,198,Moist,231265049,145293948
137,137,198,200,200,200,Wet,231265049,145293949
0,0,0,198,198,200,Moist,231262486,145289106
198,198,200,200,200,200,Wet,231262486,145289107
0,0,0,61,61,91,Moist,231252060,145273602
61,61,91,203,203,203,Wet,231252060,145273603
0,0,0,200,200,200,Moist,231259795,145283914
0,0,0,203,203,203,Moist,231252313,145273930
0,0,0,91,91,168,Moist,231266113,145295844
91,91,168,200,200,200,Wet,231266113,145295845
0,0,0,76,76,107,Moist,231265038,145293926
76,76,107,200,200,200,Wet,231265038,145293927
0,0,0,30,30,107,Moist,231268458,145299848
30,30,107,200,200,200,Wet,231268458,145299849
0,0,0,203,203,203,Moist,231252291,145273894
0,15,30,183,183,183,Wet,231252884,145274628
0,0,0,0,15,30,,231252884,145274627
NA,0,NA,NA,46,NA,Moist,231252304,145273909
NA,76,NA,NA,203,NA,Moist,231252304,145273911
46,46,61,76,76,76,Wet,231252304,145273910
0,0,0,203,203,203,Moist,231266102,145295833
0,0,0,137,137,198,Moist,231262666,145289389
137,137,198,200,200,200,Wet,231262666,145289388
0,0,0,46,46,122,Moist,231252269,145273858
46,46,122,203,203,203,Wet,231252269,145273859
0,0,0,203,203,203,Moist,231266105,145295836
0,0,0,107,107,183,Moist,231266081,145295792
107,107,183,200,200,200,Wet,231266081,145295793
0,0,0,200,200,200,Moist,231259468,145283473
0,0,0,137,137,198,Moist,231265061,145293973
137,137,198,200,200,200,Wet,231265061,145293972
0,0,0,200,200,200,Moist,231259696,145283779
NA,0,NA,NA,46,NA,Moist,231251987,145273483
NA,76,NA,NA,203,NA,Moist,231251987,145273485
46,46,61,76,76,76,Wet,231251987,145273484
61,92,122,183,183,183,Wet,231252905,145274644
0,0,0,61,92,122,,231252905,145274643
0,0,0,46,46,122,Moist,231266063,145295756
