geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Side Slope,,,34395721,13168441
NA,Side Slope,,,34395513,13168345
NA,Side Slope,,,34393854,13167415
NA,Side Slope,,,34393824,13167380
NA,Interfluve,,,34394027,13167606
NA,Side Slope,,,34395535,13168369
NA,Side Slope,,,34395441,13168273
NA,,,Talf,34395251,13168227
NA,Interfluve,,,34393995,13167570
NA,Side Slope,,,34393995,13167571
NA,Side Slope,,,34395504,13168336
NA,,Tread,,34393984,13167554
NA,Side Slope,,,34393805,13167357
NA,,Riser,,34395262,13168236
NA,Base Slope,,,34393792,13167342
NA,Side Slope,,,34395450,13168282
NA,,Tread,,34393987,13167557
NA,Side Slope,,,34395471,13168305
NA,Side Slope,,,34395472,13168306
NA,Side Slope,,,34393884,13167448
NA,Side Slope,,,34393928,13167497
NA,,,Talf,34393965,13167535
NA,Interfluve,,,34393994,13167568
NA,Side Slope,,,34393994,13167569
NA,Base Slope,,,34393939,13167509
NA,Side Slope,,,34393825,13167381
NA,Side Slope,,,34395534,13168368
NA,Base Slope,,,34393950,13167520
NA,Interfluve,,,34394020,13167598
NA,Side Slope,,,34394020,13167599
NA,Side Slope,,,34393880,13167444
NA,,,Talf,34393983,13167553
NA,Side Slope,,,34395503,13168335
NA,Interfluve,,,34393992,13167564
NA,Side Slope,,,34393992,13167565
NA,Side Slope,,,34395514,13168346
NA,Side Slope,,,34393930,13167499
NA,Side Slope,,,34395536,13168370
NA,Interfluve,,,34393993,13167566
NA,Side Slope,,,34393993,13167567
NA,Side Slope,,,34393832,13167388
NA,,Tread,,34394067,13167657
NA,,Tread,,34395259,13168233
NA,Base Slope,,,34393940,13167510
NA,,,Talf,34395264,13168238
NA,,Tread,,34394055,13167645
NA,,,Talf,34393961,13167531
NA,,,Talf,34393982,13167552
NA,Side Slope,,,34393887,13167451
NA,Side Slope,,,34393898,13167463
NA,Side Slope,,,34395470,13168304
NA,,,Talf,34393972,13167542
NA,Side Slope,,,34393931,13167500
NA,Base Slope,,,34393791,13167341
NA,Base Slope,,,34393949,13167519
NA,Side Slope,,,34393855,13167416
NA,Side Slope,,,34395506,13168338
NA,,,Talf,34393962,13167532
NA,Base Slope,,,34395458,13168292
NA,,,Talf,34395252,13168228
NA,Base Slope,,,34393951,13167521
NA,,Tread,,34394056,13167646
NA,Side Slope,,,34393828,13167384
NA,Side Slope,,,34395448,13168280
NA,Side Slope,,,34393806,13167358
NA,Side Slope,,,34393879,13167443
NA,Base Slope,,,34395459,13168293
NA,,Tread,,34395263,13168237
NA,Base Slope,,,34393938,13167508
NA,,,Talf,34393960,13167530
NA,Side Slope,,,34393817,13167369
NA,Side Slope,,,34393929,13167498
NA,Side Slope,,,34395469,13168303
NA,,Riser,,34394054,13167644
NA,Side Slope,,,34395447,13168279
NA,Base Slope,,,34393942,13167512
NA,,Tread,,34394052,13167642
NA,Base Slope,,,34395257,13168231
NA,Side Slope,,,34393885,13167449
NA,Side Slope,,,34395537,13168371
NA,,,Talf,34393959,13167529
NA,,Tread,,34395308,13168262
NA,Interfluve,,,34394026,13167605
NA,Base Slope,,,34393948,13167518
NA,Side Slope,,,34395489,13168323
NA,Side Slope,,,34393927,13167496
NA,Base Slope,,,34393787,13167337
NA,Base Slope,,,34393789,13167339
NA,Head Slope,,,34393818,13167371
NA,Side Slope,,,34393818,13167370
NA,,Tread,,34395309,13168263
NA,Side Slope,,,34395454,13168286
NA,Side Slope,,,34393853,13167414
NA,Side Slope,,,34393800,13167352
NA,Side Slope,,,34393831,13167387
NA,Side Slope,,,34393829,13167385
NA,Side Slope,,,34395509,13168341
NA,Side Slope,,,34393886,13167450
NA,,,Talf,34393963,13167533
NA,Side Slope,,,34393926,13167495
NA,Side Slope,,,34395507,13168339
NA,Base Slope,,,34395288,13168260
NA,Side Slope,,,34393897,13167462
NA,Side Slope,,,34393830,13167386
NA,,Tread,,34395685,13168419
NA,Side Slope,,,34393882,13167446
NA,Side Slope,,,34395508,13168340
NA,Interfluve,,,34393819,13167373
NA,Side Slope,,,34393819,13167372
NA,,Tread,,34395279,13168251
NA,Base Slope,,,34393788,13167338
NA,,,Talf,34393978,13167548
NA,Base Slope,,,34395286,13168258
NA,Base Slope,,,34395305,13168261
NA,Base Slope,,,34393786,13167336
NA,Side Slope,,,34395490,13168324
NA,,Riser,,34394051,13167641
NA,Side Slope,,,34395449,13168281
NA,,Riser,,34395258,13168232
NA,,Tread,,34394060,13167650
NA,Interfluve,,,34394019,13167596
NA,Side Slope,,,34394019,13167597
NA,Side Slope,,,34393823,13167379
NA,Base Slope,,,34393945,13167515
NA,,,Talf,34393977,13167547
NA,,,Talf,34393966,13167536
NA,Side Slope,,,34393816,13167368
NA,,Tread,,34393988,13167558
NA,,,Talf,34395287,13168259
NA,Side Slope,,,34393881,13167445
NA,Base Slope,,,34393944,13167514
NA,,Tread,,34395265,13168239
NA,,,Talf,34393964,13167534
NA,Side Slope,,,34395453,13168285
NA,Side Slope,,,34393801,13167353
NA,Side Slope,,,34393925,13167494
NA,,Tread,,34395688,13168421
NA,Side Slope,,,34393822,13167378
NA,Side Slope,,,34395505,13168337
