hillslopeprof,cogeomdkey,cosurfmorhppkey
Backslope,34395721,14332542
Backslope,34395513,14332430
Backslope,34393854,14331290
Backslope,34393824,14331247
Summit,34394027,14331514
Shoulder,34394027,14331515
Backslope,34395535,14332458
Backslope,34395441,14332349
Toeslope,34395251,14332298
Summit,34393995,14331469
Shoulder,34393995,14331468
Backslope,34395504,14332419
Backslope,34393805,14331217
Backslope,34395262,14332309
Footslope,34393792,14331196
Backslope,34395450,14332361
Backslope,34395471,14332386
Backslope,34395472,14332387
Backslope,34393884,14331333
Shoulder,34393928,14331397
Backslope,34393928,14331396
Toeslope,34393965,14331437
Summit,34393994,14331467
Shoulder,34393994,14331466
Footslope,34393939,14331410
Backslope,34393825,14331248
Backslope,34395534,14332457
Footslope,34393950,14331421
Summit,34394020,14331507
Shoulder,34394020,14331506
Backslope,34393880,14331329
Toeslope,34393983,14331452
Backslope,34395503,14332418
Summit,34393992,14331463
Shoulder,34393992,14331462
Shoulder,34395514,14332432
Backslope,34395514,14332431
Backslope,34393930,14331399
Backslope,34395536,14332459
Summit,34393993,14331465
Shoulder,34393993,14331464
Shoulder,34393832,14331258
Backslope,34393832,14331257
Toeslope,34394067,14331577
Toeslope,34395259,14332305
Footslope,34393940,14331411
Toeslope,34395264,14332312
Footslope,34394055,14331567
Toeslope,34394055,14331566
Toeslope,34393961,14331433
Toeslope,34393982,14331451
Backslope,34393887,14331336
Backslope,34393898,14331349
Backslope,34395470,14332385
Toeslope,34393972,14331444
Shoulder,34393931,14331401
Backslope,34393931,14331400
Footslope,34393791,14331195
Toeslope,34393949,14331420
Shoulder,34393855,14331292
Backslope,34393855,14331291
Shoulder,34395506,14332422
Backslope,34395506,14332421
Toeslope,34393962,14331434
Footslope,34395458,14332373
Toeslope,34395252,14332299
Footslope,34393951,14331422
Toeslope,34394056,14331568
Backslope,34393828,14331251
Backslope,34395448,14332359
Backslope,34393806,14331218
Backslope,34393879,14331328
Footslope,34395459,14332374
Footslope,34395263,14332311
Toeslope,34395263,14332310
Footslope,34393938,14331409
Toeslope,34393960,14331432
Shoulder,34393817,14331232
Backslope,34393817,14331233
Backslope,34393929,14331398
Backslope,34395469,14332384
Backslope,34394054,14331565
Shoulder,34395447,14332358
Backslope,34395447,14332357
Footslope,34393942,14331413
Toeslope,34394052,14331563
Footslope,34395257,14332302
Backslope,34393885,14331334
Backslope,34395537,14332460
Toeslope,34393959,14331431
Toeslope,34395308,14332337
Summit,34394026,14331513
Toeslope,34393948,14331419
Backslope,34395489,14332405
Backslope,34393927,14331395
Footslope,34393787,14331191
Footslope,34393789,14331193
Shoulder,34393818,14331234
Backslope,34393818,14331235
Toeslope,34395309,14332338
Shoulder,34395454,14332366
Backslope,34395454,14332365
Backslope,34393853,14331289
Shoulder,34393800,14331207
Backslope,34393800,14331208
Backslope,34393831,14331256
Shoulder,34393829,14331253
Backslope,34393829,14331252
Shoulder,34395509,14332426
Backslope,34395509,14332425
Backslope,34393886,14331335
Toeslope,34393963,14331435
Backslope,34393926,14331394
Backslope,34395507,14332423
Footslope,34395288,14332335
Backslope,34393897,14331348
Shoulder,34393830,14331255
Backslope,34393830,14331254
Backslope,34393882,14331331
Backslope,34395508,14332424
Summit,34393819,14331236
Shoulder,34393819,14331237
Backslope,34393819,14331238
Toeslope,34395279,14332325
Footslope,34393788,14331192
Toeslope,34393978,14331446
Footslope,34395286,14332333
Footslope,34395305,14332336
Footslope,34393786,14331190
Backslope,34395490,14332406
Shoulder,34394051,14331561
Backslope,34394051,14331562
Backslope,34395449,14332360
Shoulder,34395258,14332304
Backslope,34395258,14332303
Toeslope,34394060,14331572
Summit,34394019,14331505
Shoulder,34394019,14331504
Backslope,34393823,14331246
Footslope,34393945,14331416
Toeslope,34393977,14331445
Toeslope,34393966,14331438
Shoulder,34393816,14331230
Backslope,34393816,14331231
Toeslope,34395287,14332334
Backslope,34393881,14331330
Footslope,34393944,14331415
Toeslope,34395265,14332313
Toeslope,34393964,14331436
Backslope,34395453,14332364
Shoulder,34393801,14331210
Backslope,34393801,14331209
Backslope,34393925,14331393
Toeslope,34395688,14332519
Shoulder,34393822,14331245
Backslope,34393822,14331244
Backslope,34395505,14332420
