shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Convex,34395721,20239661
Convex,Linear,34395513,20239549
Convex,Convex,34393854,20238554
Convex,Convex,34393824,20238524
Convex,Convex,34394027,20238727
Convex,Convex,34395535,20239569
Convex,Linear,34395441,20239479
Linear,Linear,34395251,20239437
Linear,Convex,34393995,20238695
Convex,Convex,34395504,20239540
Linear,Linear,34393984,20238684
Linear,Convex,34393805,20238505
Convex,Linear,34393792,20238492
Convex,Linear,34395450,20239488
Linear,Linear,34393987,20238687
Concave,Concave,34395471,20239509
Convex,Convex,34395472,20239510
Convex,Linear,34393884,20238584
Convex,Linear,34393928,20238628
Linear,Linear,34393965,20238665
Linear,Convex,34393994,20238694
Concave,Linear,34393939,20238639
Convex,Linear,34393825,20238525
Convex,Convex,34395534,20239568
Linear,Concave,34393950,20238650
Linear,Convex,34394020,20238720
Convex,Convex,34393880,20238580
Linear,Linear,34393983,20238683
Convex,Linear,34395503,20239539
Linear,Convex,34393992,20238692
Convex,Convex,34395514,20239550
Convex,Convex,34393930,20238630
Convex,Linear,34395536,20239570
Linear,Convex,34393993,20238693
Convex,Convex,34393832,20238532
Linear,Linear,34394067,20238767
Linear,Convex,34395259,20239443
Linear,Concave,34393940,20238640
Linear,Linear,34395264,20239447
Linear,Linear,34394055,20238755
Linear,Linear,34393961,20238661
Linear,Linear,34393982,20238682
Convex,Linear,34393887,20238587
Convex,Linear,34393898,20238598
Convex,Convex,34395470,20239508
Linear,Linear,34393972,20238672
Convex,Convex,34393931,20238631
Convex,Convex,34393791,20238491
Concave,Linear,34393949,20238649
Linear,Linear,34393855,20238555
Convex,Linear,34395506,20239542
Linear,Linear,34393962,20238662
Linear,Concave,34395458,20239496
Concave,Linear,34395252,20239438
Linear,Concave,34393951,20238651
Linear,Linear,34394056,20238756
Convex,Convex,34393828,20238528
Convex,Linear,34395448,20239486
Linear,Convex,34393806,20238506
Convex,Concave,34393879,20238579
Concave,Linear,34395459,20239497
Linear,Linear,34395263,20239446
Linear,Concave,34393938,20238638
Linear,Linear,34393960,20238660
Concave,Linear,34393817,20238517
Convex,Convex,34393929,20238629
Convex,Concave,34395469,20239507
Linear,Convex,34394054,20238754
Convex,Convex,34395447,20239485
Concave,Linear,34393942,20238642
Linear,Convex,34394052,20238752
Convex,Convex,34395257,20239441
Convex,Convex,34393885,20238585
Convex,Convex,34395537,20239571
Linear,Linear,34393959,20238659
Linear,Linear,34395308,20239471
Convex,Linear,34394026,20238726
Concave,Linear,34393948,20238648
Convex,Convex,34395489,20239527
Convex,Convex,34393927,20238627
Convex,Convex,34393787,20238487
Convex,Convex,34393789,20238489
Concave,Concave,34393818,20238518
Linear,Linear,34395309,20239472
Linear,Linear,34395454,20239492
Convex,Convex,34393853,20238553
Convex,Convex,34393800,20238500
Convex,Linear,34393831,20238531
Convex,Convex,34393829,20238529
Convex,Convex,34395509,20239545
Convex,Convex,34393886,20238586
Linear,Linear,34393963,20238663
Convex,Convex,34393926,20238626
Convex,Convex,34395507,20239543
Convex,Convex,34395288,20239469
Convex,Convex,34393897,20238597
Convex,Convex,34393830,20238530
Linear,Linear,34395685,20239637
Convex,Convex,34393882,20238582
Convex,Convex,34395508,20239544
Concave,Linear,34393819,20238519
Linear,Linear,34395279,20239460
Convex,Linear,34393788,20238488
Concave,Linear,34393978,20238678
Linear,Concave,34395286,20239467
Convex,Convex,34395305,20239470
Linear,Concave,34393786,20238486
Convex,Linear,34395490,20239528
Convex,Convex,34394051,20238751
Convex,Convex,34395449,20239487
Convex,Convex,34395258,20239442
Linear,Linear,34394060,20238760
Linear,Convex,34394019,20238719
Convex,Linear,34393823,20238523
Concave,Linear,34393945,20238645
Linear,Linear,34393977,20238677
Linear,Linear,34393966,20238666
Concave,Concave,34393816,20238516
Linear,Linear,34393988,20238688
Linear,Linear,34395287,20239468
Concave,Concave,34393881,20238581
Linear,Concave,34393944,20238644
Linear,Linear,34395265,20239448
Linear,Linear,34393964,20238664
Convex,Convex,34395453,20239491
Convex,Convex,34393801,20238501
Convex,Linear,34393925,20238625
Linear,Linear,34395688,20239639
Convex,Convex,34393822,20238522
Convex,Convex,34395505,20239541
