plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
ABCO,Abies concolor,white fir,22087287,37182338
ACSA2,Acer saccharinum,silver maple,22087287,37182339
ACSA3,Acer saccharum,sugar maple,22087287,37182340
CARYA,Carya,hickory,22087287,37182341
CEOC,Celtis occidentalis,common hackberry,22087287,37182342
FRAM2,Fraxinus americana,white ash,22087287,37182343
FRNI,Fraxinus nigra,black ash,22087287,37182344
FRPE,Fraxinus pennsylvanica,green ash,22087287,37182345
JUNI,Juglans nigra,black walnut,22087287,37182346
PIAB,Picea abies,Norway spruce,22087287,37182347
PIBA2,Pinus banksiana,jack pine,22087287,37182348
PIGL,Picea glauca,white spruce,22087287,37182349
PIPU,Picea pungens,blue spruce,22087287,37182350
PIRE,Pinus resinosa,red pine,22087287,37182351
PIST,Pinus strobus,eastern white pine,22087287,37182352
POPUL,Populus,cottonwood,22087287,37182353
PRSE2,Prunus serotina,black cherry,22087287,37182354
QUAL,Quercus alba,white oak,22087287,37182355
QUBI,Quercus bicolor,swamp white oak,22087287,37182356
QUMA2,Quercus macrocarpa,bur oak,22087287,37182357
QUMU,Quercus muehlenbergii,chinkapin oak,22087287,37182358
QURU,Quercus rubra,northern red oak,22087287,37182359
QUVE,Quercus velutina,black oak,22087287,37182360
THOC2,Thuja occidentalis,arborvitae,22087287,37182361
PIGL,Picea glauca,white spruce,22087288,37182362
PIPU,Picea pungens,blue spruce,22087288,37182363
PIRE,Pinus resinosa,red pine,22087288,37182364
PIST,Pinus strobus,eastern white pine,22087288,37182365
POPUL,Populus,cottonwood,22087288,37182366
PRSE2,Prunus serotina,black cherry,22087288,37182367
QUAL,Quercus alba,white oak,22087288,37182368
QUBI,Quercus bicolor,swamp white oak,22087288,37182369
QUMA2,Quercus macrocarpa,bur oak,22087288,37182370
QUMU,Quercus muehlenbergii,chinkapin oak,22087288,37182371
QURU,Quercus rubra,northern red oak,22087288,37182372
QUVE,Quercus velutina,black oak,22087288,37182373
THOC2,Thuja occidentalis,arborvitae,22087288,37182374
ABCO,Abies concolor,white fir,22087288,37182375
ACSA2,Acer saccharinum,silver maple,22087288,37182376
ACSA3,Acer saccharum,sugar maple,22087288,37182377
CARYA,Carya,hickory,22087288,37182378
CEOC,Celtis occidentalis,common hackberry,22087288,37182379
FRAM2,Fraxinus americana,white ash,22087288,37182380
FRNI,Fraxinus nigra,black ash,22087288,37182381
FRPE,Fraxinus pennsylvanica,green ash,22087288,37182382
JUNI,Juglans nigra,black walnut,22087288,37182383
PIAB,Picea abies,Norway spruce,22087288,37182384
PIBA2,Pinus banksiana,jack pine,22087288,37182385
ABCO,Abies concolor,white fir,22087289,37184359
ACSA2,Acer saccharinum,silver maple,22087289,37184360
ACSA3,Acer saccharum,sugar maple,22087289,37184361
CARYA,Carya,hickory,22087289,37184362
CEOC,Celtis occidentalis,common hackberry,22087289,37184363
FRAM2,Fraxinus americana,white ash,22087289,37184364
FRNI,Fraxinus nigra,black ash,22087289,37184365
