musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
11B,"Colo-Ely complex, 0 to 5 percent slopes",NA,1,2.4,NA,0,0,None,None,0,4.2,8.44,16.86,26.11,Poorly drained,Poorly drained,C/D,NA,100,2,100,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.952,Slight,55,0.965,410535
120,"Tama silty clay loam, 0 to 2 percent slopes",NA,1,1,NA,NA,NA,None,None,0,5.28,10.28,19.79,28.94,Well drained,Well drained,C,NA,100,1,100,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Not limited,Not limited,Very limited,Poor,Poor,Somewhat limited,0.108,Slight,0,0.331,410536
120B,"Tama silty clay loam, 2 to 5 percent slopes",NA,4,4,NA,NA,NA,None,None,0,5.28,10.28,19.79,28.94,Well drained,Well drained,C,NA,100,2,100,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.086,Moderate,0,0.331,410537
120C2,"Tama silty clay loam, 5 to 9 percent slopes, eroded",NA,7,7,NA,NA,NA,None,None,0,5.06,9.81,19.16,28.21,Well drained,Well drained,C,NA,100,3,100,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.042,Moderate,0,0.296,410539
120D2,"Tama silty clay loam, 9 to 14 percent slopes, eroded",NA,12,11.6,NA,NA,NA,None,None,0,5.02,9.75,19.06,27.99,Well drained,Well drained,C,NA,100,3,95,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.09,Severe,0,0.651,410540
133,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",NA,1,1.2,NA,0,0,Occasional,Occasional,0,4.19,8.44,16.48,25.55,Poorly drained,Poorly drained,C/D,NA,100,2,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,95,1,410543
133+,"Colo silt loam, 0 to 2 percent slopes, occasionally flooded, overwash",NA,1,1,NA,0,0,Occasional,Occasional,0,5.5,9.81,18.18,26.42,Poorly drained,Poorly drained,C/D,NA,100,2,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,90,1,410544
M162C2,"Downs silt loam, till plain, 5 to 9 percent slopes, eroded",NA,7,7,NA,NA,NA,None,None,0,4.69,9.23,18.25,26.8,Well drained,Well drained,C,NA,100,3,100,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.046,Moderate,0,0.296,410546
M162D2,"Downs silt loam, till plain, 9 to 14 percent slopes, eroded",NA,12,11.6,NA,NA,NA,None,None,0,4.67,9.21,18.25,26.8,Well drained,Well drained,C,NA,100,4,95,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.952,Severe,0,0.651,410548
M163E2,"Fayette silt loam, till plain, 14 to 18 percent slopes, eroded",NA,16,16,NA,NA,NA,None,None,0,4.79,9.16,17.95,26.37,Well drained,Well drained,C,NA,100,4,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,410552
179E,"Gara loam, 14 to 18 percent slopes",NA,16,16,NA,NA,NA,None,None,0,5.2,9.55,18.03,26.47,Well drained,Well drained,C,NA,100,6,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.031,Severe,0,1,410555
179E2,"Gara loam, 14 to 18 percent slopes, moderately eroded",NA,16,15.8,NA,NA,NA,None,None,0,4.28,8.48,16.89,25.32,Well drained,Well drained,C,NA,100,6,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.034,Severe,0,1,410556
179F,"Gara loam, 18 to 25 percent slopes",NA,22,22,NA,NA,NA,None,None,0,5.25,9.62,18.12,26.62,Well drained,Well drained,C,NA,100,6,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.82,Severe,0,1,410557
192D2,"Adair clay loam, 9 to 14 percent slopes, moderately eroded",NA,10,10,NA,30,46,None,None,0,4.5,9,16.74,24.24,Somewhat poorly drained,Somewhat poorly drained,D,NA,100,4,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,0,1,410558
20C2,"Killduff silty clay loam, 5 to 9 percent slopes, eroded",NA,6,6.1,NA,122,122,None,None,0,5.11,9.74,19.54,29.73,Moderately well drained,Moderately well drained,C,NA,100,3,95,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.092,Moderate,5,0.331,410560
20D2,"Killduff silty clay loam, 9 to 14 percent slopes, eroded",NA,12,12,NA,122,122,None,None,0,5.11,9.74,19.54,29.73,Moderately well drained,Moderately well drained,C,NA,100,3,95,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.092,Severe,5,0.651,410561
220,"Nodaway silt loam, shallow loess, 0 to 2 percent slopes, occasionally flooded",NA,1,1,NA,122,122,Occasional,Occasional,5,5.32,10.65,21.3,32,Moderately well drained,Moderately well drained,B,NA,100,2,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Fair,Somewhat limited,0.147,Slight,10,0.64,410562
24E2,"Shelby loam, 14 to 18 percent slopes, moderately eroded",NA,16,15.6,NA,NA,NA,None,None,0,4.3,8.51,16.87,25.24,Well drained,Well drained,C,NA,100,4,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.034,Severe,5,1,410568
428B,"Ely silty clay loam, 2 to 5 percent slopes",NA,4,3.9,NA,30,30,None,None,0,4.24,8.48,17.14,26.46,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,2,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Moderate,5,1,410589
43,"Bremer silty clay loam, 0 to 2 percent slopes",NA,1,1,NA,0,0,Rare,Rare,0,5.5,10.51,18.54,27.26,Poorly drained,Poorly drained,D,NA,100,2,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Slight,95,0.972,410590
430,"Ackmore silt loam, 0 to 2 percent slopes, occasionally flooded",NA,1,1,NA,30,30,Occasional,Occasional,0,3.69,7.25,14.03,20.78,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,2,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,10,1,410591
451D2,"Caleb loam, 9 to 14 percent slopes, moderately eroded",NA,10,10,NA,122,122,None,None,0,4,8,15.78,22.78,Moderately well drained,Moderately well drained,C,NA,100,4,100,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.033,Severe,0,0.296,410593
462B,"Downs silt loam, benches, 2 to 5 percent slopes",NA,4,4,NA,NA,NA,None,None,0,5.5,10.34,19.84,29.34,Well drained,Well drained,C,NA,100,2,100,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.049,Moderate,0,0.296,410595
462C2,"Downs silt loam, benches, 5 to 9 percent slopes, moderately eroded",NA,6,5.7,NA,NA,NA,None,None,0,5.49,10.38,19.94,29.49,Well drained,Well drained,C,NA,100,3,90,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Somewhat limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.049,Moderate,5,0.32,410596
484,"Lawson silt loam, 0 to 2 percent slopes, occasionally flooded",NA,1,1,NA,30,30,Occasional,Occasional,0,3.53,7.06,13.88,20.51,Somewhat poorly drained,Somewhat poorly drained,B/D,NA,100,2,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,5,1,410597
488D2,"Downs variant, silt loam, 9 to 14 percent slopes, moderately eroded",NA,10,10.2,NA,NA,NA,None,None,0,5.29,10.14,19.64,29.14,Well drained,Well drained,C,NA,100,3,100,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Severe,0,0.33,410599
51,"Vesser silt loam, 0 to 2 percent slopes",NA,1,1,NA,0,0,Occasional,Occasional,0,5.5,10.67,20.44,29.94,Poorly drained,Poorly drained,C/D,NA,100,2,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Slight,100,1,410603
792D2,"Armstrong loam, 9 to 14 percent slopes, moderately eroded",NA,10,10.1,NA,30,46,None,None,0,4.35,7.72,14.79,22.34,Somewhat poorly drained,Somewhat poorly drained,D,NA,100,4,100,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Severe,0,0.982,410626
88,"Nevin silty clay loam, 0 to 2 percent slopes",NA,1,1,NA,30,30,Rare,Rare,0,5.5,10.99,20.72,30.22,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Slight,5,1,410636
