"","Types of Crops","Soil Types","Rooting Depth","Depth_l","Depth_h","pH-Level","ph_L","ph_H","Type of Irrigation","Rainfall/Precipitation","Temperature Tolerances","Pesticides","Vulnerabilities (heat, moisture, pests)","Storage Temp (  ̊F)","Storage Humidity (%)","Storage Life","Crop Maturity Early Variety (days)","Crop Maturity Late Variety","Soil Magnesium","Soil Boron","Manganese","Boron","Copper","Zinc","Molybdenum","Iron","Example","Year","Month"
"1","Asparagus","Sandy loam","Deep (>36 inches)",36,100,"6.0-7.0","6.0","7.0","Subsurface drip",NA,"Cool-season (Hardy)",NA,NA,"36","95-100","2-3 weeks",90,120,"Not Tolerant","Semi-Tolerant","High","Low","Low","Medium","Low","-",4,4,"August-October"
"2","Asparagus","Sandy loam","Deep (>36 inches)",36,100,"6.0-7.0","6.0","7.0","Subsurface drip",NA,"Cool-season (Hardy)",NA,NA,"36","95-100","2-3 weeks",90,120,"Not Tolerant","Semi-Tolerant","High","Low","Low","Medium","Low","-",4,0,"Fall"
"3","Cabbage","Loam","Moderate (18-24 inches)",18,24,"6.0-7.0","6.0","7.0",NA,NA,"Cool-season (Hardy)",NA,NA,"32","98-100","5-6 months",120,150,"Tolerant","Semi-Tolerant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cantaloupe","Loam","Moderate (18-24 inches)",18,24,"6.0-6.5","6.0","6.5",NA,NA,"Warm-season (Very Tender)",NA,NA,"36-41","95","2-3 weeks",NA,NA,"Not Tolerant","Semi-Tolerant",NA,NA,NA,NA,NA,NA,5,1,"May-September"
"5","Carrot","Sandy clay","Shallow (6-12 inches)",6,12,"5.5-7.0","5.5","7.0",NA,NA,"Cool-season (Semi-Hardy)",NA,NA,"32","98-100","10-14 days",60,95,"Not Tolerant","Semi-Tolerant","High","Medium","Medium","High","Low","Medium",2,3,"April-August"
"6","Cauliflower","Moist, well drained","Shallow (6-12 inches)",6,12,"5.5-7.5","5.5","7.5",NA,NA,"Cool-season (Semi-Hardy)",NA,NA,"32","95-98","3-4 weeks",85,120,"Not Tolerant","Semi-Tolerant",NA,NA,NA,NA,NA,NA,3,1,"August-November"
"7","Cauliflower","Moist, well drained","Shallow (6-12 inches)",6,12,"5.5-7.5","5.5","7.5",NA,NA,"Cool-season (Semi-Hardy)",NA,NA,"32","95-98","3-4 weeks",85,120,"Not Tolerant","Semi-Tolerant",NA,NA,NA,NA,NA,NA,5,3,"April-July"
"8","Cucumber","Sandy loam","Moderate (18-24 inches)",18,24,"5.5-7.0","5.5","7.0",NA,NA,"Warm-season (Very Tender)",NA,NA,"50-54","85-90","1-2 weeks",55,90,NA,NA,"Medium","High","Medium","-","High","High",1,4,"June-September"
"9","Eggplant","Sandy loam","Moderate(18-24 inches)",18,24,"5.5-7.0","5.5","7.0",NA,NA,"Warm-season (Very Tender)",NA,NA,"50-54","90-95","1-2 weeks",22,30,"Tolerant","Semi-Tolerant","High","Medium","Medium","Medium","Medium","-",3,2,"June-October"
"10","Lettuce","Sandy","Shallow (6-12 inches)",6,12,"6.0-7.0","6.0","7.0",NA,NA,"Cool-season (Semi-Hardy)",NA,NA,"32","98-100","2-3 weeks",60,80,"Not Tolerant",NA,NA,NA,NA,NA,NA,NA,5,3,"August-November"
"11","Lettuce","Sandy","Shallow (6-12 inches)",6,12,"6.0-7.0","6.0","7.0",NA,NA,"Cool-season (Semi-Hardy)",NA,NA,"32","98-100","2-3 weeks",60,80,"Not Tolerant",NA,NA,NA,NA,NA,NA,NA,3,1,"April-June"
"12","Oats","Loam","Deep (>36 inches)",36,100,"4.5-6.0","4.5","6.0",NA,NA,"Cool-season (Hardy)",NA,NA,NA,NA,"1-2 years",NA,NA,NA,"Tolerant","Low","Low","Low","Low","Low","Medium",1,0,"Fall"
"13","Oats","Loam","Deep (>36 inches)",36,100,"4.5-6.0","4.5","6.0",NA,NA,"Cool-season (Hardy)",NA,NA,NA,NA,"1-2 years",NA,NA,NA,"Tolerant","Low","Low","Low","Low","Low","Medium",1,4,"September-November"
"14","Onion","Sandy loam","Shallow (6-12 inches)",6,12,"6.0-7.0","6.0","7.0","drip",NA,"Cool-season (Hardy)",NA,NA,"32","65-75","1-8 months",90,150,NA,"Tolerant","High","Low","High","High","High","-",1,1,"April-August"
"15","Onion","Sandy loam","Shallow (6-12 inches)",6,12,"6.0-7.0","6.0","7.0","drip",NA,"Cool-season (Hardy)",NA,NA,"32","65-75","1-8 months",90,150,NA,"Tolerant","High","Low","High","High","High","-",3,3,"May-September"
"16","Peas","Clay","Moderate (18-24 inches)",18,24,"6.0-7.5","6.0","7.5","sprinkler *",NA,"Cool-season (Hardy)",NA,NA,"32","90-98","1-2 weeks",56,75,"Tolerant",NA,"High","Low","Low","Low","Medium","-",1,0,"Fall"
"17","Peas","Clay","Moderate (18-24 inches)",18,24,"6.0-7.5","6.0","7.5","sprinkler *",NA,"Cool-season (Hardy)",NA,NA,"32","90-98","1-2 weeks",56,75,"Tolerant",NA,"High","Low","Low","Low","Medium","-",1,4,"September-November"
"18","Potato","Sandy loam","Moderate (18-24 inches)",18,24,"6.0-6.5","6.0","6.5",NA,NA,"Cool-season (Semi-Hardy)",NA,NA,NA,NA,NA,70,120,"Not Tolerant","Tolerant","Medium","Medium","Medium","Low","Medium","Medium",4,4,"April-August"
"19","Potato","Sandy loam","Moderate (18-24 inches)",18,24,"6.0-6.5","6.0","6.5",NA,NA,"Cool-season (Semi-Hardy)",NA,NA,NA,NA,NA,70,120,"Not Tolerant","Tolerant","Medium","Medium","Medium","Low","Medium","Medium",1,2,"April-August"
"20","Pumpkin","Sandy","Deep (>36 inches)",36,100,"5.5-7.5","5.5","7.5",NA,NA,"Warm-season (Very Tender)",NA,NA,"54-59","50-70","2-3 months",60,85,"Not Tolerant",NA,"Medium","Medium","High","Medium","Medium","High",2,1,"June-October"
"21","Radish","Sandy","Shallow (6-12 inches)",6,12,"6.0-7.0","6.0","7.0",NA,NA,NA,NA,NA,"32","95-100","1-2 months",37,45,NA,NA,"High","Medium","High","High","High","High",3,4,"September-November"
"22","Radish","Sandy","Shallow (6-12 inches)",6,12,"6.0-7.0","6.0","7.0",NA,NA,NA,NA,NA,"32","95-100","1-2 months",37,45,NA,NA,"High","Medium","High","High","High","High",3,0,"Fall"
"23","Spinach","Clay","Moderate(18-24 inches)",18,24,"6.5-7.5","6.5","7.5",NA,NA,"Cool-season (Hardy)",NA,NA,NA,NA,NA,80,90,"Not Tolerant","Tolerant",NA,NA,NA,NA,NA,NA,5,3,"August-November"
