"Types of Crops","musym.x","mukey","cokey","muname","taxorder","compname","slope.r","slopegradwta","slope.l","slope.h","localphase","erokind","erocl","tfact","Kfact","wei","niccdcd","hydgrp","soilslippot","drainagecl","drclassdcd","awc","aws025wta","aws0150wta","flodfreqcl","floddurcl","pondfreqcl","ponddurcl","flodfreqdcd","flodfreqmax","pondfreqprs","iacornsr","ph","ph_l","ph_h","cec7","gypsum","ksat","ec","sar","caco3","om","ptotal","soilTextdes","Soil Types","Rooting Depth","pH-Level","Temperature Tolerances","ph_L","ph_H","Boron","Copper","Zinc","Molybdenum","Iron","Manganese","Soil Boron","Soil Magnesium","Storage Life","Crop Maturity Late Variety","Crop Maturity Early Variety (days)","Storage Humidity (%)","Storage Temp (  ̊F)","Base Temp in F","Nitrogen","Example","Year","Month","Flags","FlagDesc"
"Asparagus","55",2800483,22116853,"Nicollet clay loam, 1 to 3 percent slopes","Mollisols","Nicollet",2,1.9,1,3,"","Sheet erosion","Class 1",5,0.3,48,1,"C/D",NA,"Somewhat poorly drained","Somewhat poorly drained",0.1775,4.58,26.8,"None","","None","","None","None",5,89,6.75,6.3,7.575,22.475,0,4.4075,0,0,3.75,2.875,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,4,"August-October",1,"soil texture does not match"
"Asparagus","55",2800483,22116853,"Nicollet clay loam, 1 to 3 percent slopes","Mollisols","Nicollet",2,1.9,1,3,"","Sheet erosion","Class 1",5,0.3,48,1,"C/D",NA,"Somewhat poorly drained","Somewhat poorly drained",0.1775,4.58,26.8,"None","","None","","None","None",5,89,6.75,6.3,7.575,22.475,0,4.4075,0,0,3.75,2.875,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,0,"Fall",1,"soil texture does not match"
"Asparagus","507",412692,22116954,"Canisteo clay loam, 0 to 2 percent slopes","Mollisols","Canisteo",1,0.9,0,2,"",NA,"None - deposition",5,0.288,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.178,4.63,27.18,"None","","None","","None","None",15,84,7.78,7.5,8.04,21.62,0,4.09,0,0,13,3.35,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,4,"August-October",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Asparagus","507",412692,22116954,"Canisteo clay loam, 0 to 2 percent slopes","Mollisols","Canisteo",1,0.9,0,2,"",NA,"None - deposition",5,0.288,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.178,4.63,27.18,"None","","None","","None","None",15,84,7.78,7.5,8.04,21.62,0,4.09,0,0,13,3.35,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,0,"Fall",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Asparagus","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.29,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.1875,5.01,27.46,"None","","None","","None","None",0,89,6.75,6.3,7.575,18.975,0,9.17,0,0,3.75,1.75,NA,"Loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,4,"August-October",2,"soil texture does not match, this soil's organic matter percent could be an issue"
"Asparagus","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.29,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.1875,5.01,27.46,"None","","None","","None","None",0,89,6.75,6.3,7.575,18.975,0,9.17,0,0,3.75,1.75,NA,"Loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,0,"Fall",2,"soil texture does not match, this soil's organic matter percent could be an issue"
"Asparagus","107",2835033,22116763,"Webster clay loam, 0 to 2 percent slopes","Mollisols","Webster",1,1,0,2,"",NA,"None - deposition",5,0.293333333333333,48,2,"C/D",NA,"Poorly drained","Poorly drained",0.176666666666667,4.55,26.66,"None","","None","","None","None",8,86,6.9,5.76666666666667,7.46666666666667,26.2,0,2.82,0,0,0,4.5,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,4,"August-October",2,"soil texture does not match, this soil's drainage may be limited"
"Asparagus","107",2835033,22116763,"Webster clay loam, 0 to 2 percent slopes","Mollisols","Webster",1,1,0,2,"",NA,"None - deposition",5,0.293333333333333,48,2,"C/D",NA,"Poorly drained","Poorly drained",0.176666666666667,4.55,26.66,"None","","None","","None","None",8,86,6.9,5.76666666666667,7.46666666666667,26.2,0,2.82,0,0,0,4.5,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,0,"Fall",2,"soil texture does not match, this soil's drainage may be limited"
"Asparagus","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.29,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.1875,5.01,27.46,"None","","None","","None","None",0,89,6.75,6.3,7.575,18.975,0,9.17,0,0,3.75,1.75,NA,"Loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,4,"August-October",2,"soil texture does not match, this soil's organic matter percent could be an issue"
"Asparagus","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.29,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.1875,5.01,27.46,"None","","None","","None","None",0,89,6.75,6.3,7.575,18.975,0,9.17,0,0,3.75,1.75,NA,"Loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,0,"Fall",2,"soil texture does not match, this soil's organic matter percent could be an issue"
