"","year","Month","AverageTempH","AverageTempL","SumPrecip","SumClimPrecip","Date"
"1","2015",3,49.6405806451613,26.1494193548387,0.8960630167569,1.96,"3/2015"
"2","2015",4,62.2898,38.6486,4.23188979466131,3.75,"4/2015"
"3","2015",5,69.4504516129032,50.6613548387097,4.61456695175546,4.81,"5/2015"
"4","2015",6,79.1114,60.1022,4.07874009021976,5.81,"6/2015"
"5","2015",7,81.3066451612903,61.8422580645161,2.99921252596097,4.04,"7/2015"
"6","2015",8,78.0143870967742,58.8885161290322,7.24960625758322,4.1,"8/2015"
"7","2015",9,78.7928,57.3494,1.40826770522463,3.13,"9/2015"
"8","2015",10,63.7154193548387,41.4952903225806,1.20039368004311,2.29,"10/2015"
"9","2016",3,51.4643870967742,32.2461935483871,2.74015750941329,1.96,"3/2016"
"10","2016",4,60.2186,39.8336,1.74212601710492,3.75,"4/2016"
"11","2016",5,71.2568387096774,48.8236129032258,5.86299211138815,4.81,"5/2016"
"12","2016",6,84.044,61.5728,3.53464568576475,5.81,"6/2016"
"13","2016",7,81.5888387096774,63.2834193548387,6.03122046789315,4.04,"7/2016"
"14","2016",8,80.7707096774193,61.6477419354839,6.61177180685455,4.1,"8/2016"
"15","2016",9,77.0456,56.4734,10.9564566609127,3.13,"9/2016"
"16","2016",10,65.4991612903226,43.8637419354839,1.64586618660003,2.29,"10/2016"
"17","2017",3,43.7174193548387,27.0302580645161,2.1895669342026,1.96,"3/2017"
"18","2017",4,60.1712,41.1074,4.09830710080665,3.75,"4/2017"
"19","2017",5,70.389935483871,47.858,4.77425196039395,4.81,"5/2017"
"20","2017",6,83.4326,59.5208,4.7087008010882,5.81,"6/2017"
"21","2017",7,84.8462580645161,63.4547096774193,1.5335826693088,4.04,"7/2017"
"22","2017",8,77.5568387096774,57.0037419354839,5.05870078257689,4.1,"8/2017"
"23","2017",9,78.9824,54.701,2.12106296821959,3.13,"9/2017"
"24","2017",10,61.974064516129,42.5776129032258,5.79633862132163,2.29,"10/2017"
"25","2018",3,40.9268387096774,26.271935483871,2.88964563496704,1.96,"3/2018"
"26","2018",4,49.184,28.1888,4.12023620415978,3.75,"4/2018"
"27","2018",5,77.6596129032258,56.182129032258,6.942834592769,4.81,"5/2018"
"28","2018",6,82.6802,63.6812,7.31385830324143,5.81,"6/2018"
"29","2018",7,82.8163225806451,62.3514838709677,5.12724415993127,4.04,"7/2018"
"30","2018",8,81.1969032258064,61.5112903225806,8.94531508951675,4.1,"8/2018"
"31","2018",9,75.1136,55.2494,7.17531515945366,3.13,"9/2018"
"32","2018",10,57.4276129032258,37.3547096774193,4.22000001734636,2.29,"10/2018"
"33","2019",3,37.9963225806452,22.4809032258064,1.81385822418168,1.96,"3/2019"
"34","2019",4,60.0248,38.1872,3.65098425245378,3.75,"4/2019"
"35","2019",5,66.5692903225806,47.331935483871,7.78736228438637,4.81,"5/2019"
"36","2019",6,79.3064,59.6924,3.22500008649714,5.81,"6/2019"
"37","2019",7,83.4213548387097,64.8784516129032,3.81259843824417,4.04,"7/2019"
"38","2019",8,78.7007096774193,58.932064516129,4.3737794903261,4.1,"8/2019"
"39","2019",9,77.7932,58.46,4.6497243994803,3.13,"9/2019"
"40","2019",10,55.1863225806451,36.396064516129,6.39909442719512,2.29,"10/2019"
"41","2020",3,48.4763870967742,31.6161935483871,3.38956698885291,1.96,"3/2020"
"42","2020",4,58.7468,34.3274,1.05909450703821,3.75,"4/2020"
"43","2020",5,67.4530322580645,48.7045806451613,4.18405504941236,4.81,"5/2020"
"44","2020",6,83.8058,63.14,4.9440550891358,5.81,"6/2020"
"45","2020",7,85.442,64.359935483871,1.18358265163054,4.04,"7/2020"
"46","2020",8,83.372,59.8744516129032,2.32362204238655,4.1,"8/2020"
"47","2020",9,73.262,50.6684,3.63476373313919,3.13,"9/2020"
"48","2020",10,55.4818709677419,35.1302580645161,1.11078742568887,2.29,"10/2020"
"49","2021",3,51.6269677419355,31.8368387096774,2.85669291699965,1.96,"3/2021"
"50","2021",4,61.259,38.5742,0.613937027693733,3.75,"4/2021"
"51","2021",5,69.3807741935484,48.8747096774193,4.30748028490017,4.81,"5/2021"
"52","2021",6,86.5952,62.1104,3.65366144208457,5.81,"6/2021"
"53","2021",7,83.3150967741935,62.6621290322581,3.69067711154307,4.04,"7/2021"
"54","2021",8,83.4724516129032,61.4027096774193,5.36685020484555,4.1,"8/2021"
"55","2021",9,79.5074,53.2862,2.66208649620296,3.13,"9/2021"
"56","2021",10,64.6090322580645,44.5309032258064,4.44833852878705,2.29,"10/2021"
"57","2022",3,44.9408387096774,26.901935483871,1.49442909505424,1.96,"3/2022"
"58","2022",4,53.738,33.2666,4.23950385976964,3.75,"4/2022"
"59","2022",5,72.0267741935484,50.643935483871,3.04159436873564,4.81,"5/2022"
"60","2022",6,82.943,60.8246,4.24928725939097,5.81,"6/2022"
"61","2022",7,84.2865161290323,63.4918709677419,NA,4.04,"7/2022"
